Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,SkYds,Sk%,NY/A,ANY/A,4QC,GWD,Player-additional
1,Len Dawson*+,KAN,31,QB,14,14,11-2-1,159,284,56.0,2527,26,9.2,10,3.5,89,8.9,9.1,15.9,180.5,101.7,23,227,7.5,7.49,7.72,1,1,DawsLe00
2,Tom Flores*,OAK,29,QB,14,10,7-2-1,151,306,49.3,2638,24,7.8,14,4.6,78,8.6,8.1,17.5,188.4,86.2,28,237,8.4,7.19,6.74,2,1,FlorTo00
3,John Hadl,SDG,26,QB,14,12,7-4-1,200,375,53.3,2846,23,6.1,14,3.7,78,7.6,7.1,14.2,203.3,83.0,28,283,6.9,6.36,5.94,1,1,HadlJo00
4,Babe Parilli*,BOS,36,QB,14,14,8-4-2,181,382,47.4,2721,20,5.2,20,5.2,63,7.1,5.8,15.0,194.4,66.9,22,189,5.4,6.27,5.03,2,1,PariBa00
5,Joe Namath,NYJ,23,QB,14,13,5-6-2,232,471,49.3,3379,19,4.0,27,5.7,77,7.2,5.4,14.6,241.4,62.6,7,66,1.5,6.93,5.18,4,2,NamaJo00
6,George Blanda,HOU,39,QB,14,8,3-5-0,122,271,45.0,1764,17,6.3,21,7.7,79,6.5,4.3,14.5,126.0,55.3,8,72,2.9,6.06,3.90,,,BlanGe00
7,Jack Kemp*,BUF,31,QB,14,14,9-4-1,166,389,42.7,2451,11,2.8,16,4.1,55,6.3,5.0,14.8,175.1,56.2,12,115,3.0,5.83,4.58,1,1,KempJa00
8,Don Trull,HOU,25,QB,14,5,0-5-0,84,172,48.8,1200,10,5.8,5,2.9,62,7.0,6.8,14.3,85.7,79.1,17,166,9.0,5.47,5.34,,,TrulDo00
9,John McCormick,DEN,29,QB,14,5,1-4-0,68,193,35.2,993,6,3.1,15,7.8,65,5.1,2.3,14.6,70.9,30.9,13,125,6.3,4.21,1.52,1,1,McCoJo00
10,George Wilson,MIA,23,QB,14,7,2-5-0,46,112,41.1,764,5,4.5,10,8.9,80,6.8,3.7,16.6,54.6,42.4,15,133,11.8,4.97,2.21,,,WilsGe00
11,Steve Tensi,SDG,24,QB,14,2,0-2-0,21,52,40.4,405,5,9.6,1,1.9,63,7.8,8.8,19.3,28.9,92.2,3,37,5.5,6.69,7.69,,,TensSt00
12,Max Choboian,DEN,24,QB,14,7,3-4-0,82,163,50.3,1110,4,2.5,12,7.4,79,6.8,4.0,13.5,79.3,49.9,15,145,8.4,5.42,2.84,0,1,ChobMa00
13,Dick Wood,MIA,30,QB,14,4,0-4-0,83,230,36.1,993,4,1.7,14,6.1,71,4.3,1.9,12.0,70.9,30.6,7,58,3.0,3.95,1.62,,,WoodDi00
14,Pete Beathard,KAN,24,QB,14,0,,39,90,43.3,578,4,4.4,4,4.4,77,6.4,5.3,14.8,41.3,61.2,7,56,7.2,5.38,4.35,,,BeatPe00
15,Daryle Lamonica,BUF,25,QB,14,0,,33,84,39.3,549,4,4.8,5,6.0,55,6.5,4.8,16.6,39.2,53.1,4,29,4.5,5.91,4.26,1,0,LamoDa00
16,John Stofa,MIA,24,QB,7,1,1-0-0,29,57,50.9,425,4,7.0,2,3.5,48,7.5,7.3,14.7,60.7,84.3,6,73,9.5,5.59,5.43,1,1,StofJo00
17,Rick Norton,MIA,23,QB,7,2,0-2-0,21,55,38.2,192,3,5.5,6,10.9,43,3.5,-0.3,9.1,27.4,27.0,7,57,11.3,2.18,-1.21,,,NortRi00
18,Cotton Davidson,OAK,35,QB,14,4,1-3-0,59,139,42.4,770,2,1.4,11,7.9,51,5.5,2.3,13.1,55.0,32.4,5,32,3.5,5.13,1.97,,,DaviCo00
19,Mike Taliaferro,NYJ,25,QB,14,1,1-0-0,19,41,46.3,177,2,4.9,2,4.9,21,4.3,3.1,9.3,12.6,54.6,2,26,4.7,3.51,2.35,,,TaliMi00
20,Buddy Humphrey,HOU,31,QB,6,1,0-1-0,15,32,46.9,168,2,6.3,1,3.1,32,5.3,5.1,11.2,28.0,70.8,2,20,5.9,4.35,4.21,,,HumpBu00
21,Mickey Slaughter,DEN,25,QB,3,1,0-1-0,7,25,28.0,124,1,4.0,0,0.0,67,5.0,5.8,17.7,41.3,61.1,2,18,7.4,3.93,4.67,,,SlauMi00
22,Scotty Glacken,DEN,22,QB,8,1,0-1-0,6,11,54.5,84,1,9.1,0,0.0,22,7.6,9.5,14.0,10.5,109.7,3,27,21.4,4.07,5.50,,,GlacSc00
23,Keith Lincoln,SDG,27,FB,14,7,,2,4,50.0,71,1,25.0,0,0.0,36,17.8,22.8,35.5,5.1,135.4,,,,,,,,LincKe00
24,Bert Coan,KAN,26,HB,14,10,,1,1,100.0,18,1,100.0,0,0.0,18,18.0,38.0,18.0,1.3,158.3,,,,,,,,CoanBe00
25,John Huarte,BOS,23,QB,14,0,,5,11,45.5,63,0,0.0,1,9.1,17,5.7,1.6,12.6,4.5,25.9,1,2,8.3,5.08,1.33,,,HuarJo00
26,Tobin Rote,DEN,38,QB,3,0,,3,8,37.5,40,0,0.0,1,12.5,20,5.0,-0.6,13.3,13.3,14.6,4,40,33.3,0.00,-3.75,,,RoteTo00
27,Jacky Lee,HOU,27,QB,8,0,,4,8,50.0,27,0,0.0,1,12.5,10,3.4,-2.3,6.8,3.4,18.2,1,13,11.1,1.56,-3.44,,,LeexJa00
28,Paul Lowe,SDG,30,HB,14,11,,1,3,33.3,25,0,0.0,0,0.0,25,8.3,8.3,25.0,1.8,64.6,1,9,25.0,4.00,4.00,,,LowePa00
29,Charlie Green,OAK,23,QB,14,0,,2,2,100.0,17,0,0.0,0,0.0,11,8.5,8.5,8.5,1.2,102.1,,,,,,,,GreeCh00
30,Ode Burrell,HOU,27,HB,14,9,,1,1,100.0,9,0,0.0,0,0.0,9,9.0,9.0,9.0,0.6,104.2,,,,,,,,BurrOd00
31,Clem Daniels*+,OAK,29,HB/FB,14,14,,0,3,0.0,0,0,0.0,1,33.3,0,0.0,-15.0,,0.0,0.0,,,,,,,,DaniCl00
32,Mike Garrett*,KAN,22,HB,14,4,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,,,,,,,,GarrMi00
33,Abner Haynes,DEN,29,HB,14,10,,0,2,0.0,0,0,0.0,2,100.0,0,0.0,-45.0,,0.0,0.0,,,,,,,,HaynAb00
34,Jim Hudson,NYJ,23,FS,14,9,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,,,,,,,,HudsJi20
35,Matt Snell*,NYJ,25,FB,12,12,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,,,,,,,,SnelMa00
36,Otis Taylor*+,KAN,24,FL,14,14,,0,1,0.0,0,0,0.0,1,100.0,0,0.0,-45.0,,0.0,0.0,,,,,,,,TaylOt00
37,Charley Tolar,HOU,29,FB,14,10,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,,,,,,,,TolaCh00
