Rk,Player,Tm,Age,Pos,G,GS,Rec,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
1,Lance Alworth*+,SDG,26,FL,13,13,73,1383,18.9,13,78,,5.6,106.4,0,AlwoLa00
2,George Sauer*,NYJ,23,LE,14,14,63,1079,17.1,5,77,,4.5,77.1,1,SaueGe00
3,Chris Burford,KAN,28,LE,14,14,58,758,13.1,8,38,,4.1,54.1,1,BurfCh00
4,Otis Taylor*+,KAN,24,FL,14,14,58,1297,22.4,8,89,,4.1,92.6,0,TaylOt00
5,Charley Frazier*,HOU,27,LE,14,14,57,1129,19.8,12,79,,4.1,80.6,0,FrazCh00
6,Art Powell*,OAK,29,LE,14,14,53,1026,19.4,11,46,,3.8,73.3,0,PoweAr00
7,Art Graham,BOS,25,LE,14,13,51,673,13.2,4,42,,3.6,48.1,0,GrahAr00
8,Elbert Dubenion,BUF,33,FL,14,14,50,747,14.9,2,46,,3.6,53.4,0,DubeEl00
9,Don Maynard,NYJ,31,FL,14,14,48,840,17.5,5,55,,3.4,60.0,0,MaynDo00
10,Matt Snell*,NYJ,25,FB,12,12,48,346,7.2,4,25,,4.0,28.8,3,SnelMa00
11,Gary Garrison,SDG,22,LE,14,11,46,642,14.0,4,36,,3.3,45.9,0,GarrGa00
12,Abner Haynes,DEN,29,HB,14,10,46,480,10.4,1,52,,3.3,34.3,11,HaynAb00
13,Gino Cappelletti*,BOS,32,FL,14,14,43,676,15.7,6,63,,3.1,48.3,0,CappGi00
14,Pete Lammons,NYJ,23,TE,14,14,41,565,13.8,4,60,,2.9,40.4,2,LammPe00
15,Clem Daniels*+,OAK,29,HB/FB,14,14,40,652,16.3,3,68,,2.9,46.6,7,DaniCl00
16,Al Denson,DEN,24,TE,14,14,36,725,20.1,3,65,,2.6,51.8,0,DensAl00
17,Lionel Taylor,DEN,31,LE,14,14,35,448,12.8,1,32,,2.5,32.0,0,TaylLi00
18,Bobby Burnett*,BUF,23,HB,14,14,34,419,12.3,4,48,,2.4,29.9,3,BurnBo01
19,Ode Burrell,HOU,27,HB,14,9,33,400,12.1,5,34,,2.4,28.6,3,BurrOd00
20,Bobby Crockett,BUF,23,LE,14,11,31,533,17.2,3,53,,2.2,38.1,0,CrocBo00
