Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,Player-additional
1,Jim Nance*+,BOS,24,FB,14,14,299,1458,11,65,4.9,104.1,7,NancJi00
2,Clem Daniels*+,OAK,29,HB/FB,14,14,204,801,7,64,3.9,57.2,7,DaniCl00
3,Bobby Burnett*,BUF,23,HB,14,14,187,766,4,32,4.1,54.7,3,BurnBo01
4,Matt Snell*,NYJ,25,FB,12,12,178,644,4,25,3.6,53.7,3,SnelMa00
5,Wray Carlton*,BUF,29,FB,14,13,156,696,6,23,4.5,49.7,4,CarlWr00
6,Mike Garrett*,KAN,22,HB,14,4,147,801,6,77,5.4,57.2,5,GarrMi00
7,Paul Lowe,SDG,30,HB,14,11,146,643,3,57,4.4,45.9,3,LowePa00
8,Curtis McClinton*,KAN,27,FB,14,14,140,540,4,49,3.9,38.6,2,McClCu00
9,Abner Haynes,DEN,29,HB,14,10,129,304,2,20,2.4,21.7,11,HaynAb00
10,Ode Burrell,HOU,27,HB,14,9,122,406,0,45,3.3,29.0,3,BurrOd00
11,Joe Auer,MIA,25,LHB,14,14,121,416,4,41,3.4,29.7,7,AuerJo00
12,Wendell Hayes,DEN,26,FB,11,10,105,417,1,56,4.0,37.9,0,HayeWe00
13,Larry Garron,BOS,29,HB,14,13,101,319,4,54,3.2,22.8,3,GarrLa00
14,Emerson Boozer*,NYJ,23,HB,14,7,97,455,5,54,4.7,32.5,0,BoozEm00
15,Bert Coan,KAN,26,HB,14,10,96,521,7,57,5.4,37.2,3,CoanBe00
16,Gene Foster,SDG,24,FB,14,7,81,352,1,37,4.3,25.1,2,FostGe00
17,Cookie Gilchrist,MIA,31,FB,8,5,72,262,0,22,3.6,32.8,1,GilcCo00
18,Bill Mathis,NYJ,28,HB,14,7,72,208,2,23,2.9,14.9,2,MathBi00
19,Sid Blanks,HOU,26,RB,14,2,71,235,0,30,3.3,16.8,2,BlanSi00
20,Billy Joe,MIA,26,FB,14,7,71,232,0,14,3.3,16.6,3,JoexBi00
21,John Henry Johnson,HOU,37,FB,14,3,70,226,3,33,3.2,16.1,0,JohnJo02
22,Charley Mitchell,DEN,26,HB,13,4,70,199,0,21,2.8,15.3,3,MitcCh00
23,Hewritt Dixon*,OAK,26,FB,14,7,68,277,5,23,4.1,19.8,2,DixoHe00
24,Roger Hagberg,OAK,27,HB,14,7,62,282,0,30,4.5,20.1,3,HagbRo00
25,Keith Lincoln,SDG,27,FB,14,7,58,214,1,23,3.7,15.3,1,LincKe00
26,Hoyle Granger,HOU,22,FB,11,4,56,388,1,69,6.9,35.3,0,GranHo00
27,Charley Tolar,HOU,29,FB,14,10,46,105,0,17,2.3,7.5,3,TolaCh00
28,Rick Casares,MIA,35,FB,6,2,43,135,0,10,3.1,22.5,0,CasaRi00
29,Jack Kemp*,BUF,31,QB,14,14,40,130,5,26,3.3,9.3,7,KempJa00
30,John Hadl,SDG,26,QB,14,12,38,95,2,21,2.5,6.8,4,HadlJo00
31,Don Trull,HOU,25,QB,14,5,38,139,7,23,3.7,9.9,3,TrulDo00
32,Darrell Lester,DEN,26,FB,11,4,34,84,0,10,2.5,7.6,3,LestDa00
33,Jim Allison,SDG,23,RB,14,3,31,213,2,61,6.9,15.2,1,AlliJi00
34,Sammy Price,MIA,23,RB,14,0,31,107,0,14,3.5,7.6,0,PricSa00
35,Allen Smith,BUF,24,RB,14,0,31,148,0,20,4.8,10.6,0,SmitAl00
36,Babe Parilli*,BOS,36,QB,14,14,28,42,1,17,1.5,3.0,8,PariBa00
37,Jack Spikes,BUF,29,HB,14,1,28,119,3,36,4.3,8.5,1,SpikJa00
38,George Wilson,MIA,23,QB,14,7,27,137,0,37,5.1,9.8,3,WilsGe00
39,Len Dawson*+,KAN,31,QB,14,14,24,167,0,18,7.0,11.9,5,DawsLe00
40,Bob Cappadona,BOS,24,RB,14,0,22,88,1,13,4.0,6.3,0,CappBo00
41,Max Choboian,DEN,24,QB,14,7,21,45,2,12,2.1,3.2,4,ChobMa00
42,Mark Smolinski,NYJ,27,FB,14,2,21,69,2,21,3.3,4.9,0,SmolMa00
43,Pete Beathard,KAN,24,QB,14,0,20,152,1,52,7.6,10.9,3,BeatPe00
44,George Chesser,MIA,24,FB,14,0,16,74,0,19,4.6,5.3,0,ChesGe00
45,Pervis Atkins,OAK,31,HB,14,0,14,10,0,9,0.7,0.7,2,AtkiPe00
46,J.D. Garrett,BOS,25,HB,14,1,13,21,0,5,1.6,1.5,0,GarrJ.00
47,Daryle Lamonica,BUF,25,QB,14,0,9,6,1,14,0.7,0.4,2,LamoDa00
48,John Huarte,BOS,23,QB,14,0,7,40,0,13,5.7,2.9,0,HuarJo00
49,Gene Thomas,KAN,24,RB,14,0,7,53,1,28,7.6,3.8,1,ThomGe01
50,Cotton Davidson,OAK,35,QB,14,4,6,-11,0,5,-1.8,-0.8,2,DaviCo00
51,Mike Kellogg,DEN,24,FB,8,0,6,3,0,5,0.5,0.4,1,KellMi01
52,Joe Namath,NYJ,23,QB,14,13,6,42,2,39,7.0,3.0,1,NamaJo00
53,Donnie Stone,HOU,29,HB,5,0,6,18,0,12,3.0,3.6,1,StonDo00
54,Tom Flores*,OAK,29,QB,14,10,5,50,1,27,10.0,3.6,2,FlorTo00
55,Dick Wood,MIA,30,QB,14,4,5,6,1,7,1.2,0.4,2,WoodDi00
56,Pete Banaszak,OAK,22,RB,14,0,4,18,0,7,4.5,1.3,0,BanaPe00
57,John McCormick,DEN,29,QB,14,5,4,2,0,3,0.5,0.1,3,McCoJo00
58,Bob Scarpitto*,DEN,27,FL,14,14,4,110,1,63,27.5,7.9,1,ScarBo00
59,Lance Alworth*+,SDG,26,FL,13,13,3,10,0,4,3.3,0.8,0,AlwoLa00
60,George Blanda,HOU,39,QB,14,8,3,1,0,1,0.3,0.1,3,BlanGe00
61,Elbert Dubenion,BUF,33,FL,14,14,3,16,0,17,5.3,1.1,0,DubeEl00
62,Rick Norton,MIA,23,QB,7,2,3,2,0,3,0.7,0.3,3,NortRi00
63,John Stofa,MIA,24,QB,7,1,3,17,0,14,5.7,2.4,1,StofJo00
64,Jerrel Wilson,KAN,25,P,14,0,3,7,0,5,2.3,0.5,0,WilsJe20
65,Scotty Glacken,DEN,22,QB,8,1,2,-1,0,5,-0.5,-0.1,0,GlacSc00
66,Frank Jackson,MIA,27,LE,10,8,2,22,0,24,11.0,2.2,0,JackFr00
67,Curley Johnson,NYJ,31,TE,14,0,2,24,0,20,12.0,1.7,2,JohnCu20
68,Rick Redman,SDG,23,LLB,14,14,2,14,0,32,7.0,1.0,0,RedmRi00
69,Otis Taylor*+,KAN,24,FL,14,14,2,33,0,19,16.5,2.4,0,TaylOt00
70,Gary Garrison,SDG,22,LE,14,11,1,-3,0,-3,-3.0,-0.2,0,GarrGa00
71,Jacky Lee,HOU,27,QB,8,0,1,-3,0,-3,-3.0,-0.4,1,LeexJa00
72,Ed Rutkowski,BUF,25,SE,14,0,1,10,0,10,10.0,0.7,1,RutkEd00
73,Mickey Slaughter,DEN,25,QB,3,1,1,10,0,10,10.0,3.3,1,SlauMi00
74,Steve Tensi,SDG,24,QB,14,2,1,-1,0,-1,-1.0,-0.1,1,TensSt00
75,Tom Yewcic,BOS,34,P,7,0,1,-5,0,-5,-5.0,-0.7,1,YewcTo00
