Player-additional,Player,Tm,Age,Pos,G,Cmp,PassAtt,PassYds,PassTD,Int,RushAtt,RushYds,RushTD,RushFmb,Rec,RecYds,RecTD,RecFmb,2PM,Score
KellLe00,Leroy Kelly*+,CLE,24,RB,14,0.0,1.0,0.0,0.0,0.0,209.0,1141.0,15.0,1.0,32.0,366.0,1.0,1.0,0.0,260.7
SayeGa00,Gale Sayers*+,CHI,23,RB,14,2.0,6.0,58.0,0.0,1.0,229.0,1231.0,8.0,2.0,34.0,447.0,2.0,2.0,0.0,241.12
ReevDa00,Dan Reeves,DAL,22,RB,14,3.0,6.0,48.0,0.0,0.0,175.0,757.0,8.0,6.0,41.0,557.0,8.0,6.0,0.0,237.82
NancJi00,Jim Nance*+,BOS,24,RB,14,0.0,0.0,0.0,0.0,0.0,299.0,1458.0,11.0,7.0,8.0,103.0,0.0,7.0,0.0,212.1
DaniCl00,Clem Daniels*+,OAK,29,RB,14,0.0,3.0,0.0,0.0,1.0,204.0,801.0,7.0,7.0,40.0,652.0,3.0,7.0,0.0,209.3
GreeEr01,Ernie Green*,CLE,28,RB,14,0.0,0.0,0.0,0.0,0.0,144.0,750.0,3.0,2.0,45.0,445.0,6.0,2.0,0.0,192.0
BassDi00,Dick Bass*,RAM,29,RB,14,0.0,0.0,0.0,0.0,0.0,248.0,1090.0,8.0,5.0,31.0,274.0,0.0,5.0,0.0,189.9
BurnBo01,Bobby Burnett*,BUF,23,RB,14,0.0,0.0,0.0,0.0,0.0,187.0,766.0,4.0,3.0,34.0,419.0,4.0,3.0,0.0,177.5
BrowBi00,Bill Brown,MIN,28,RB,14,0.0,1.0,0.0,0.0,0.0,251.0,829.0,6.0,4.0,37.0,359.0,0.0,4.0,0.0,165.3
SnelMa00,Matt Snell*,NYJ,25,RB,12,0.0,1.0,0.0,0.0,0.0,178.0,644.0,4.0,3.0,48.0,346.0,4.0,3.0,0.0,165.0
WillKe02,Ken Willard*,SFO,23,RB,14,0.0,0.0,0.0,0.0,0.0,191.0,763.0,5.0,7.0,42.0,351.0,2.0,7.0,0.0,160.4
PerkDo00,Don Perkins*,DAL,28,RB,14,0.0,0.0,0.0,0.0,0.0,186.0,726.0,8.0,1.0,23.0,231.0,0.0,1.0,0.0,153.2
TaylJi00,Jim Taylor,GNB,31,RB,14,0.0,0.0,0.0,0.0,0.0,204.0,705.0,4.0,4.0,41.0,331.0,2.0,4.0,0.0,152.1
PittEl00,Elijah Pitts,GNB,28,RB,14,0.0,2.0,0.0,0.0,0.0,115.0,393.0,7.0,4.0,26.0,460.0,3.0,4.0,0.0,150.3
McClCu00,Curtis McClinton*,KAN,27,RB,14,0.0,0.0,0.0,0.0,0.0,140.0,540.0,4.0,2.0,19.0,285.0,5.0,2.0,0.0,142.0
NowaTo00,Tom Nowatzke,DET,24,RB,14,0.0,0.0,0.0,0.0,0.0,151.0,512.0,6.0,6.0,54.0,316.0,1.0,6.0,0.0,139.8
