Player-additional,Player,Tm,Age,Pos,G,Cmp,PassAtt,PassYds,PassTD,Int,RushAtt,RushYds,RushTD,RushFmb,Rec,RecYds,RecTD,RecFmb,2PM,Score
MackJo00,John Mackey*+,BAL,25,TE,14,0.0,0.0,0.0,0.0,0.0,1.0,-6.0,0.0,0.0,50.0,829.0,9.0,0.0,0.0,161.3
DaleCa00,Carroll Dale,GNB,28,TE,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,876.0,7.0,0.0,0.0,148.1
RetzPe00,Pete Retzlaff,PHI,35,TE,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,653.0,6.0,0.0,0.0,121.3
SmitJa00,Jackie Smith*,STL,26,TE,14,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,1.0,45.0,810.0,3.0,1.0,0.0,120.3
ThomAa00,Aaron Thomas,NYG,29,TE,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,683.0,4.0,0.0,0.0,113.8
DensAl00,Al Denson,DEN,24,TE,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,725.0,3.0,0.0,0.0,108.5
HiltJo00,John Hilton,PIT,24,TE,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,603.0,4.0,1.0,0.0,105.3
LammPe00,Pete Lammons,NYJ,23,TE,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,565.0,4.0,2.0,0.0,97.0
MacKJa00,Jacque MacKinnon*,SDG,28,TE,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,477.0,6.0,0.0,0.0,96.7
CarpPr00,Preston Carpenter,2TM,32,TE,13,0.0,0.0,0.0,0.0,0.0,1.0,-10.0,0.0,0.0,30.0,518.0,4.0,0.0,0.0,89.8
WhalJi00,Jim Whalen,BOS,23,TE,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,502.0,4.0,0.0,0.0,88.7
ClarFr00,Frank Clarke,DAL,32,TE,14,0.0,0.0,0.0,0.0,0.0,8.0,49.0,0.0,0.0,26.0,355.0,4.0,0.0,0.0,77.4
CostPa00,Paul Costa*,BUF,25,TE,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,400.0,3.0,0.0,0.0,71.5
ArbaFr00,Fred Arbanas+,KAN,27,TE,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,305.0,4.0,0.0,1.0,67.5
DitkMi00,Mike Ditka,CHI,27,TE,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,378.0,2.0,0.0,0.0,65.8
McLeBo00,Bob McLeod,HOU,28,TE,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,339.0,3.0,0.0,0.0,63.4
CannBi00,Billy Cannon,OAK,29,TE,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,436.0,2.0,0.0,0.0,62.6
KramRo00,Ron Kramer,DET,31,TE,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,432.0,0.0,0.0,0.0,61.7
KocoDa00,Dave Kocourek,MIA,29,TE,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,320.0,2.0,0.0,0.0,57.5
SticMo00,Monty Stickles,SFO,28,TE,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,315.0,2.0,0.0,0.0,57.0
MoriMi00,Milt Morin,CLE,24,TE,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,333.0,3.0,3.0,0.0,56.8
MitcTo00,Tom Mitchell,OAK,22,TE,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,301.0,1.0,0.0,0.0,47.6
MartBi00,Bill Martin,ATL,24,TE,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,330.0,0.0,0.0,0.0,47.5
TruaBi00,Billy Truax,RAM,23,TE,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,314.0,0.0,0.0,0.0,45.9
FergCh00,Charley Ferguson,BUF,27,TE,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,293.0,1.0,0.0,0.0,43.3
SmitRa00,Ralph Smith,CLE,28,TE,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,183.0,3.0,0.0,0.0,42.8
AndeTa00,Taz Anderson,ATL,28,TE,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,195.0,3.0,0.0,0.0,42.5
McKeMa00,Marlin McKeever*,RAM,26,TE,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,277.0,1.0,2.0,0.0,41.2
CaroRe00,Reggie Carolan,KAN,27,TE,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,154.0,3.0,0.0,0.0,36.9
CresBo00,Bobby Crespino,NYG,28,TE,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,167.0,2.0,0.0,0.0,36.7
ColcJi00,Jim Colclough,BOS,30,TE,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,284.0,0.0,1.0,0.0,34.4
FrazWi00,Willie Frazier,SDG,24,TE,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,144.0,2.0,0.0,0.0,30.9
KramKe00,Kent Kramer,SFO,22,TE,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,81.0,3.0,0.0,0.0,28.6
NormPe00,Pettis Norman,DAL,27,TE,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,144.0,0.0,0.0,0.0,20.4
PoolBo00,Bob Poole,HOU,25,TE,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,131.0,0.0,0.0,0.0,19.1
CronBi00,Bill Cronin,MIA,23,TE,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,83.0,1.0,0.0,0.0,17.8
McGeMa00,Max McGee,GNB,34,TE,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,91.0,1.0,0.0,0.0,17.1
WilsBu00,Butch Wilson,BAL,25,TE,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,27.0,2.0,0.0,0.0,16.2
RichPa00,Pat Richter,WAS,25,TE,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,100.0,0.0,0.0,0.0,13.5
RomeTo00,Tony Romeo,BOS,28,TE,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,46.0,0.0,0.0,1.0,7.6
JohnCu20,Curley Johnson,NYJ,31,TE,14,0.0,0.0,0.0,0.0,0.0,2.0,24.0,0.0,2.0,1.0,18.0,1.0,2.0,0.0,6.7
GibbJi00,Jim Gibbons,DET,30,TE,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,6.7
KuppJa00,Jake Kupp,WAS,25,TE,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,28.0,0.0,0.0,0.0,4.8
AlleDu00,Duane Allen,CHI,29,TE,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,28.0,0.0,0.0,0.0,4.3
JeteTo00,Tony Jeter,PIT,22,TE,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,0.0,0.0,0.0,2.8
MoreDo00,Doug Moreau,MIA,21,TE,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,0.0,0.0,0.0,2.5
AndeBi00,Bill Anderson,GNB,30,TE,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,0.0,0.0,0.0,2.4
BiviCh00,Charlie Bivins,CHI,28,TE,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,1.0,0.0,-0.4
