Player-additional,Player,Tm,Age,Pos,G,Cmp,PassAtt,PassYds,PassTD,Int,RushAtt,RushYds,RushTD,RushFmb,Rec,RecYds,RecTD,RecFmb,2PM,Score
AlwoLa00,Lance Alworth*+,SDG,26,WR,13,0.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,73.0,1383.0,13.0,0.0,0.0,253.8
HayeBo00,Bob Hayes*+,DAL,24,WR,14,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,3.0,64.0,1232.0,13.0,3.0,0.0,227.1
FrazCh00,Charley Frazier*,HOU,27,WR,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,1129.0,12.0,0.0,0.0,213.4
TaylOt00,Otis Taylor*+,KAN,24,WR,14,0.0,1.0,0.0,0.0,1.0,2.0,33.0,0.0,0.0,58.0,1297.0,8.0,0.0,0.0,208.0
CollGa00,Gary Collins*,CLE,26,WR,14,0.0,0.0,0.0,0.0,0.0,2.0,38.0,0.0,0.0,56.0,946.0,12.0,0.0,0.0,198.4
PoweAr00,Art Powell*,OAK,29,WR,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,1026.0,11.0,0.0,0.0,195.1
MitcBo00,Bobby Mitchell,WAS,31,WR,14,1.0,1.0,21.0,0.0,0.0,13.0,141.0,1.0,0.0,58.0,905.0,9.0,0.0,0.0,194.44
StudPa00,Pat Studstill*+,DET,28,WR,14,0.0,0.0,0.0,0.0,0.0,2.0,20.0,0.0,3.0,67.0,1266.0,5.0,3.0,0.0,186.1
JoneHo00,Homer Jones,NYG,25,WR,14,0.0,0.0,0.0,0.0,0.0,5.0,43.0,0.0,1.0,48.0,1044.0,8.0,1.0,0.0,178.7
SaueGe00,George Sauer*,NYJ,23,WR,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,1079.0,5.0,1.0,1.0,169.4
MorrJo01,Joe Morrison,NYG,29,WR,14,0.0,0.0,0.0,0.0,0.0,67.0,275.0,2.0,1.0,46.0,724.0,6.0,1.0,0.0,168.9
ParkDa00,Dave Parks*,SFO,25,WR,13,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,66.0,974.0,5.0,0.0,0.0,160.3
BurfCh00,Chris Burford,KAN,28,WR,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,758.0,8.0,1.0,0.0,150.8
BerrRa00,Raymond Berry,BAL,33,WR,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,786.0,7.0,0.0,0.0,148.6
MaynDo00,Don Maynard,NYJ,31,WR,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,840.0,5.0,0.0,0.0,138.0
SmitJe01,Jerry Smith,WAS,23,WR,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,686.0,6.0,0.0,0.0,131.6
CappGi00,Gino Cappelletti*,BOS,32,WR,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,676.0,6.0,0.0,0.0,125.1
WarfPa00,Paul Warfield,CLE,24,WR,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,741.0,5.0,0.0,0.0,122.1
FlatPa00,Paul Flatley*,MIN,25,WR,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,777.0,3.0,0.0,0.0,120.7
GrahAr00,Art Graham,BOS,25,WR,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,673.0,4.0,0.0,0.0,116.8
JeffRo00,Roy Jefferson,PIT,23,WR,14,0.0,0.0,0.0,0.0,0.0,2.0,36.0,0.0,3.0,32.0,772.0,4.0,3.0,0.0,114.8
DubeEl00,Elbert Dubenion,BUF,33,WR,14,0.0,0.0,0.0,0.0,0.0,3.0,16.0,0.0,0.0,50.0,747.0,2.0,0.0,0.0,113.3
BallGa00,Gary Ballman,PIT,26,WR,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,663.0,5.0,2.0,0.0,112.8
GarrGa00,Gary Garrison,SDG,22,WR,14,0.0,0.0,0.0,0.0,0.0,1.0,-3.0,0.0,0.0,46.0,642.0,4.0,0.0,0.0,110.9
McDoTo00,Tommy McDonald,RAM,32,WR,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,714.0,2.0,2.0,0.0,106.9
SnowJa00,Jack Snow,RAM,23,WR,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,634.0,3.0,0.0,0.0,98.4
