Rk,Player,Tm,Age,Pos,G,GS,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G,Player-additional
1,Gino Cappelletti*,BOS,32,FL,14,14,,6,,,,,,6,,,,35,36,16,34,,119,8.5,CappGi00
2,Booth Lusteg,BUF,27,K,14,0,,,,,,,,,,,,41,42,19,38,,98,7.0,LustBo20
3,Mike Mercer,2TM,31,K,12,0,,,,,,,,,,,0,35,38,21,30,,98,8.2,MercMi20
4,Jim Turner,NYJ,25,K,14,0,,,,,,,,,,,,34,35,18,35,,88,6.3,TurnJi22
5,George Blanda,HOU,39,QB,14,8,,,,,,,,,,,,39,40,16,30,,87,6.2,BlanGe00
6,Dick Van Raaphorst*,SDG,24,K,14,0,,,,,,,,,,,,39,40,16,31,,87,6.2,VanRDi20
7,Lance Alworth*+,SDG,26,FL,13,13,,13,,,,,,13,,,,,,,,,78,6.0,AlwoLa00
8,Charley Frazier*,HOU,27,LE,14,14,,12,,,,,,12,,,,,,,,,72,5.1,FrazCh00
9,Mike Eischeid,OAK,26,K,12,0,,,,,,,,,,,,37,37,11,26,,70,5.8,EiscMi20
10,Jim Nance*+,BOS,24,FB,14,14,11,,,,,,,11,,,,,,,,,66,4.7,NancJi00
11,Art Powell*,OAK,29,LE,14,14,,11,,,,,,11,,,,,,,,,66,4.7,PoweAr00
12,Gary Kroner,DEN,26,K,14,0,,,,,,,,,,,,20,20,14,25,,62,4.4,KronGa20
13,Clem Daniels*+,OAK,29,HB/FB,14,14,7,3,,,,,,10,,,,,,,,,60,4.3,DaniCl00
14,Joe Auer,MIA,25,LHB,14,14,4,4,,1,,,,9,,,,,,,,,54,3.9,AuerJo00
15,Bert Coan,KAN,26,HB,14,10,7,2,,,,,,9,,,,,,,,,54,3.9,CoanBe00
16,Hewritt Dixon*,OAK,26,FB,14,7,5,4,,,,,,9,,,,,,,,,54,3.9,DixoHe00
17,Larry Garron,BOS,29,HB,14,13,4,5,,,,,,9,,,,,,,,,54,3.9,GarrLa00
18,Curtis McClinton*,KAN,27,FB,14,14,4,5,,,,,,9,,,,,,,,,54,3.9,McClCu00
19,Gene Mingo,MIA,28,K,14,1,,,,,,,,,,,,23,23,10,21,,53,3.8,MingGe20
20,Chris Burford,KAN,28,LE,14,14,,8,,,,,,8,,,,,,,,,48,3.4,BurfCh00
21,Bobby Burnett*,BUF,23,HB,14,14,4,4,,,,,,8,,,,,,,,,48,3.4,BurnBo01
22,Mike Garrett*,KAN,22,HB,14,4,6,1,1,,,,,8,,,,,,,,,48,3.4,GarrMi00
23,Matt Snell*,NYJ,25,FB,12,12,4,4,,,,,,8,,,,,,,,,48,4.0,SnelMa00
24,Otis Taylor*+,KAN,24,FL,14,14,,8,,,,,,8,,,,,,,,,48,3.4,TaylOt00
25,Don Trull,HOU,25,QB,14,5,7,,,,,,,7,,,,,,,,,42,3.0,TrulDo00
26,Emerson Boozer*,NYJ,23,HB,14,7,5,,,1,,,,6,,,,,,,,,36,2.6,BoozEm00
27,Wray Carlton*,BUF,29,FB,14,13,6,,,,,,,6,,,,,,,,,36,2.6,CarlWr00
28,Jacque MacKinnon*,SDG,28,TE,14,13,,6,,,,,,6,,,,,,,,,36,2.6,MacKJa00
29,George Sauer*,NYJ,23,LE,14,14,,5,,,,,,5,1,,,,,,,,32,2.3,SaueGe00
30,Bob Scarpitto*,DEN,27,FL,14,14,1,4,,,,,,5,1,,,,,,,,32,2.3,ScarBo00
31,Ode Burrell,HOU,27,HB,14,9,,5,,,,,,5,,,,,,,,,30,2.1,BurrOd00
32,Jack Kemp*,BUF,31,QB,14,14,5,,,,,,,5,,,,,,,,,30,2.1,KempJa00
33,Don Maynard,NYJ,31,FL,14,14,,5,,,,,,5,,,,,,,,,30,2.1,MaynDo00
34,Fred Arbanas+,KAN,27,TE,14,14,,4,,,,,,4,1,,,,,,,,26,1.9,ArbaFr00
35,Gary Garrison,SDG,22,LE,14,11,,4,,,,,,4,,,,,,,,,24,1.7,GarrGa00
36,Art Graham,BOS,25,LE,14,13,,4,,,,,,4,,,,,,,,,24,1.7,GrahAr00
37,Pete Lammons,NYJ,23,TE,14,14,,4,,,,,,4,,,,,,,,,24,1.7,LammPe00
38,Jack Spikes,BUF,29,HB,14,1,3,1,,,,,,4,,,,,,,,,24,1.7,SpikJa00
39,Jim Whalen,BOS,23,TE,14,8,,4,,,,,,4,,,,,,,,,24,1.7,WhalJi00
