Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,SkYds,Sk%,NY/A,ANY/A,4QC,GWD,Player-additional
1,Sonny Jurgensen*,WAS,32,QB,14,14,7-7-0,254,436,58.3,3209,28,6.4,19,4.4,86,7.4,6.7,12.6,229.2,84.5,26,210,5.6,6.49,5.85,2,3,JurgSo00
2,Frank Ryan*,CLE,30,QB,14,14,9-5-0,200,382,52.4,2974,29,7.6,14,3.7,54,7.8,7.7,14.9,212.4,88.2,28,223,6.8,6.71,6.59,1,1,RyanFr00
3,John Brodie,SFO,31,QB,14,13,5-6-2,232,427,54.3,2810,16,3.7,22,5.2,65,6.6,5.0,12.1,200.7,65.8,20,165,4.5,5.92,4.42,2,1,BrodJo00
4,Don Meredith*,DAL,28,QB,13,13,9-3-1,177,344,51.5,2805,24,7.0,12,3.5,95,8.2,8.0,15.8,215.8,87.7,37,261,9.7,6.68,6.52,3,2,MereDo00
5,Johnny Unitas*,BAL,33,QB,14,13,9-4-0,195,348,56.0,2748,22,6.3,24,6.9,89,7.9,6.1,14.1,196.3,74.0,21,146,5.7,7.05,5.32,1,1,UnitJo00
6,Fran Tarkenton,MIN,26,QB,14,12,4-7-1,192,358,53.6,2561,17,4.7,16,4.5,68,7.2,6.1,13.3,182.9,73.8,37,322,9.4,5.67,4.71,2,1,TarkFr00
7,Roman Gabriel,RAM,26,QB,14,14,8-6-0,217,397,54.7,2540,10,2.5,16,4.0,84,6.4,5.1,11.7,181.4,65.9,48,319,10.8,4.99,3.82,,,GabrRo00
8,Bart Starr*+,GNB,32,QB,14,13,11-2-0,156,251,62.2,2257,14,5.6,3,1.2,83,9.0,9.6,14.5,161.2,105.0,26,183,9.4,7.49,8.01,1,1,StarBa00
9,Rudy Bukich,CHI,36,QB,14,14,5-7-2,147,309,47.6,1858,10,3.2,21,6.8,80,6.0,3.6,12.6,132.7,49.3,26,211,7.8,4.92,2.69,2,1,BukiRu00
10,Karl Sweetan,DET,24,QB,10,8,2-5-1,157,309,50.8,1809,4,1.3,14,4.5,99,5.9,4.1,11.5,180.9,54.3,24,225,7.2,4.76,3.11,1,0,SweeKa00
11,Randy Johnson,ATL,22,QB,14,11,3-8-0,129,295,43.7,1795,12,4.1,21,7.1,53,6.1,3.7,13.9,128.2,47.8,26,236,8.1,4.86,2.66,,,JohnRa00
12,Charley Johnson,STL,28,QB,9,9,7-1-1,103,205,50.2,1334,10,4.9,11,5.4,69,6.5,5.1,13.0,148.2,65.0,18,170,8.1,5.22,3.90,4,4,JohnCh02
13,Norm Snead,PHI,27,QB,10,10,5-5-0,103,226,45.6,1275,8,3.5,11,4.9,48,5.6,4.2,12.4,127.5,55.1,25,190,10.0,4.32,2.99,0,1,SneaNo00
14,Ron Smith,PIT,24,QB,9,8,2-5-0,79,181,43.6,1249,8,4.4,12,6.6,84,6.9,4.8,15.8,138.8,54.3,42,326,18.8,4.14,2.43,0,1,SmitRo03
15,Gary Wood,NYG,24,QB,14,6,0-6-0,81,170,47.6,1142,6,3.5,13,7.6,58,6.7,4.0,14.1,81.6,49.7,24,222,12.4,4.74,2.35,,,WoodGa00
16,Bill Nelsen,PIT,25,QB,5,5,3-1-1,63,112,56.3,1122,7,6.3,1,0.9,68,10.0,10.9,17.8,224.4,107.8,15,141,11.8,7.72,8.47,1,0,NelsBi00
17,Earl Morrall,NYG,32,QB,7,7,1-5-1,71,151,47.0,1105,7,4.6,12,7.9,98,7.3,4.7,15.6,157.9,54.1,18,152,10.7,5.64,3.27,1,1,MorrEa00
18,Milt Plum,DET,31,QB,6,6,2-4-0,82,146,56.2,943,4,2.7,13,8.9,63,6.5,3.0,11.5,157.2,47.8,11,103,7.0,5.35,2.13,,,PlumMi00
19,Terry Nofsinger,STL,28,QB,7,5,1-4-0,68,162,42.0,799,2,1.2,8,4.9,49,4.9,3.0,11.8,114.1,41.2,17,153,9.5,3.61,1.82,,,NofsTe00
20,Tom Kennedy,NYG,28,QB,6,1,0-1-0,55,100,55.0,748,7,7.0,6,6.0,82,7.5,6.2,13.6,124.7,77.4,20,150,16.7,4.98,3.90,,,KennTo00
21,King Hill,PHI,30,QB,10,2,2-0-0,53,97,54.6,571,5,5.2,7,7.2,30,5.9,3.7,10.8,57.1,59.3,6,42,5.8,5.14,3.05,2,2,HillKi00
22,Zeke Bratkowski,GNB,35,QB,8,1,1-0-0,36,64,56.3,569,4,6.3,2,3.1,74,8.9,8.7,15.8,71.1,93.8,5,46,7.2,7.58,7.43,1,1,BratZe00
23,Dennis Claridge,ATL,25,QB,7,3,0-3-0,40,70,57.1,471,2,2.9,2,2.9,62,6.7,6.0,11.8,67.3,75.4,9,77,11.4,4.99,4.35,,,ClarDe02
24,Gary Cuozzo,BAL,25,QB,7,1,0-1-0,26,50,52.0,424,4,8.0,2,4.0,69,8.5,8.3,16.3,60.6,90.7,8,82,13.8,5.90,5.72,,,CuozGa00
25,George Izo,PIT,29,QB,4,1,0-2-0,35,81,43.2,360,2,2.5,8,9.9,37,4.4,0.5,10.3,90.0,25.3,4,26,4.7,3.93,0.16,,,IzoxGe00
26,George Mira,SFO,24,QB,14,1,1-0-0,22,53,41.5,284,5,9.4,2,3.8,29,5.4,5.5,12.9,20.3,74.7,8,70,13.1,3.51,3.67,,,MiraGe00
27,Bill Munson,RAM,25,QB,5,0,,30,50,60.0,284,2,4.0,1,2.0,25,5.7,5.6,9.5,56.8,80.7,6,32,10.7,4.50,4.41,,,MunsBi00
28,Jack Concannon,PHI,23,QB,11,2,2-0-0,21,51,41.2,262,1,2.0,4,7.8,44,5.1,2.0,12.5,23.8,31.7,3,22,5.6,4.44,1.48,,,ConcJa00
29,Jerry Rhome,DAL,24,QB,7,1,1-0-0,21,36,58.3,253,0,0.0,1,2.8,47,7.0,5.8,12.0,36.1,68.4,4,39,10.0,5.35,4.23,,,RhomJe00
30,Craig Morton,DAL,23,QB,6,0,,13,27,48.1,225,3,11.1,1,3.7,41,8.3,8.9,17.3,37.5,98.5,1,8,3.6,7.75,8.29,0,1,MortCr00
31,Bob Berry,MIN,24,QB,3,1,0-1-0,13,37,35.1,215,1,2.7,5,13.5,52,5.8,0.3,16.5,71.7,25.0,7,53,15.9,3.68,-0.98,,,BerrBo00
32,Jim Ninowski,CLE,30,QB,14,0,,11,18,61.1,175,4,22.2,1,5.6,44,9.7,11.7,15.9,12.5,110.0,1,14,5.3,8.47,10.32,,,NinoJi00
33,Ron Vander Kelen,MIN,27,QB,3,1,0-1-0,10,20,50.0,147,0,0.0,1,5.0,43,7.4,5.1,14.7,49.0,53.5,1,9,4.8,6.57,4.43,,,VandRo00
34,Johnny Roland*,STL,23,HB,14,13,,5,8,62.5,130,1,12.5,0,0.0,45,16.3,18.8,26.0,9.3,145.8,1,8,11.1,13.56,15.78,,,RolaJo00
35,Steve Sloan,ATL,22,QB,3,0,,6,13,46.2,96,0,0.0,2,15.4,32,7.4,0.5,16.0,32.0,31.7,3,32,18.8,4.00,-1.63,,,SloaSt00
36,Dick Hoak,PIT,27,HB,13,10,,4,6,66.7,87,1,16.7,0,0.0,42,14.5,17.8,21.8,6.7,149.3,1,7,14.3,11.43,14.29,,,HoakDi00
37,Billy Kilmer,SFO,27,QB,6,0,,5,16,31.3,84,0,0.0,1,6.3,26,5.3,2.4,16.8,14.0,24.0,2,12,11.1,4.00,1.50,,,KilmBi00
38,Billy Wade,CHI,36,QB,2,0,,9,21,42.9,79,0,0.0,1,4.8,14,3.8,1.6,8.8,39.5,33.6,0,0,0.0,3.76,1.62,,,WadeBi00
39,John David Crow,SFO,31,HB,14,14,,2,4,50.0,61,0,0.0,1,25.0,46,15.3,4.0,30.5,4.4,56.2,0,0,0.0,15.25,4.00,,,CrowJo00
40,Ron Meyer,PIT,22,QB,4,0,,7,19,36.8,59,0,0.0,1,5.3,19,3.1,0.7,8.4,14.8,23.8,4,23,17.4,1.57,-0.39,,,MeyeRo00
41,Gale Sayers*+,CHI,23,HB,14,13,,2,6,33.3,58,0,0.0,1,16.7,39,9.7,2.2,29.0,4.1,30.6,0,0,0.0,9.67,2.17,,,SayeGa00
42,Izzy Lang,PHI,24,FB,14,4,,2,3,66.7,51,0,0.0,0,0.0,36,17.0,17.0,25.5,3.6,109.7,0,0,0.0,17.00,17.00,,,LangIz00
