Rk,Player,Tm,Age,Pos,G,GS,Rec,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
1,Charley Taylor*,WAS,25,HB/LE,14,14,72,1119,15.5,12,86,,5.1,79.9,6,TaylCh00
2,Pat Studstill*+,DET,28,FL,14,13,67,1266,18.9,5,99,,4.8,90.4,3,StudPa00
3,Dave Parks*,SFO,25,LE,13,13,66,974,14.8,5,65,,5.1,74.9,0,ParkDa00
4,Bob Hayes*+,DAL,24,LE,14,14,64,1232,19.3,13,95,,4.6,88.0,3,HayeBo00
5,Tom Moore,RAM,28,HB,14,14,60,433,7.2,3,30,,4.3,30.9,1,MoorTo00
6,Bobby Mitchell,WAS,31,FL,14,13,58,905,15.6,9,70,,4.1,64.6,0,MitcBo00
7,Raymond Berry,BAL,33,LE,14,14,56,786,14.0,7,40,,4.0,56.1,0,BerrRa00
8,Gary Collins*,CLE,26,FL,14,14,56,946,16.9,12,54,,4.0,67.6,0,CollGa00
9,Tommy McDonald,RAM,32,FL,13,12,55,714,13.0,2,62,,4.2,54.9,2,McDoTo00
10,Tom Nowatzke,DET,24,FB,14,14,54,316,5.9,1,25,,3.9,22.6,6,NowaTo00
11,Jerry Smith,WAS,23,LE/TE,14,14,54,686,12.7,6,35,,3.9,49.0,0,SmitJe01
12,Bernie Casey,SFO,27,FL,13,13,50,669,13.4,1,32,,3.8,51.5,1,CaseBe00
13,Paul Flatley*,MIN,25,LE,13,12,50,777,15.5,3,41,,3.8,59.8,0,FlatPa00
14,John Mackey*+,BAL,25,TE,14,14,50,829,16.6,9,89,,3.6,59.2,0,MackJo00
15,Homer Jones,NYG,25,LE,14,10,48,1044,21.8,8,98,,3.4,74.6,1,JoneHo00
16,Gail Cogdill,DET,29,LE,14,14,47,411,8.7,1,21,,3.4,29.4,0,CogdGa00
17,John Hilton,PIT,24,TE,14,14,46,603,13.1,4,32,,3.3,43.1,1,HiltJo00
18,Joe Morrison,NYG,29,FL/HB,14,14,46,724,15.7,6,49,,3.3,51.7,1,MorrJo01
19,Ernie Green*,CLE,28,FB,14,14,45,445,9.9,6,31,,3.2,31.8,2,GreeEr01
20,Jackie Smith*,STL,26,TE,14,14,45,810,18.0,3,69,,3.2,57.9,1,SmitJa00
21,Alex Hawkins,ATL,29,FL,12,12,44,661,15.0,2,42,,3.7,55.1,1,HawkAl00
22,Aaron Thomas,NYG,29,TE/FL,14,13,43,683,15.9,4,50,,3.1,48.8,0,ThomAa00
23,Ken Willard*,SFO,23,FB,14,14,42,351,8.4,2,62,,3.0,25.1,7,WillKe02
24,Gary Ballman,PIT,26,LE,13,13,41,663,16.2,5,79,,3.2,51.0,2,BallGa00
25,Dan Reeves,DAL,22,HB,14,14,41,557,13.6,8,51,,2.9,39.8,6,ReevDa00
26,Jim Taylor,GNB,31,FB,14,14,41,331,8.1,2,21,,2.9,23.6,4,TaylJi00
27,Pete Retzlaff,PHI,35,TE,14,14,40,653,16.3,6,40,,2.9,46.6,0,RetzPe00
28,Bill Brown,MIN,28,FB,14,14,37,359,9.7,0,56,,2.6,25.6,4,BrowBi00
29,Carroll Dale,GNB,28,TE/LE,14,13,37,876,23.7,7,83,,2.6,62.6,0,DaleCa00
30,Ron Kramer,DET,31,TE,14,14,37,432,11.7,0,68,,2.6,30.9,0,KramRo00
31,Jimmy Orr,BAL,31,FL,13,13,37,618,16.7,3,61,,2.8,47.5,0,OrrxJi00
32,Paul Warfield,CLE,24,LE,14,14,36,741,20.6,5,51,,2.6,52.9,0,WarfPa00
33,Bobby Joe Conrad,STL,31,FL,14,14,34,388,11.4,2,40,,2.4,27.7,1,ConrBo00
34,Gale Sayers*+,CHI,23,HB,14,13,34,447,13.1,2,80,,2.4,31.9,2,SayeGa00
35,Jack Snow,RAM,23,LE,14,14,34,634,18.6,3,84,,2.4,45.3,0,SnowJa00
36,Timmy Brown,PHI,29,HB,13,12,33,371,11.2,3,39,,2.5,28.5,4,BrowTi01
37,Mike Ditka,CHI,27,TE,14,14,32,378,11.8,2,30,,2.3,27.0,0,DitkMi00
38,Roy Jefferson,PIT,23,FL,14,14,32,772,24.1,4,84,,2.3,55.1,3,JeffRo00
39,Leroy Kelly*+,CLE,24,HB,14,14,32,366,11.4,1,40,,2.3,26.1,1,KellLe00
40,Red Phillips,MIN,30,FL,12,11,32,554,17.3,3,68,,2.7,46.2,0,PhilJi00
41,Dick Bass*,RAM,29,FB,14,14,31,274,8.8,0,40,,2.2,19.6,5,BassDi00
42,Marv Fleming,GNB,24,LE/TE,14,14,31,361,11.6,2,53,,2.2,25.8,0,FlemMa00
43,Preston Carpenter,2TM,32,TE,13,13,30,518,17.3,4,52,,2.3,39.8,0,CarpPr00
44,John David Crow,SFO,31,HB,14,14,30,341,11.4,3,54,,2.1,24.4,1,CrowJo00
45,Boyd Dowler,GNB,29,FL,14,14,29,392,13.5,0,40,,2.1,28.0,1,DowlBo00
46,Fred Hill,PHI,23,LE,14,7,29,304,10.5,0,36,,2.1,21.7,0,HillFr00
47,Bill Martin,ATL,24,TE,14,13,29,330,11.4,0,35,,2.1,23.6,0,MartBi00
48,Billy Truax,RAM,23,TE,14,7,29,314,10.8,0,21,,2.1,22.4,0,TruaBi00
49,Vern Burke,ATL,25,LE,14,8,28,348,12.4,1,45,,2.0,24.9,0,BurkVe00
50,Jim Jones,CHI,25,LE,14,14,28,504,18.0,5,80,,2.0,36.0,1,JoneJi01
51,Pete Gent,DAL,24,FL,14,10,27,474,17.6,1,84,,1.9,33.9,0,GentPe00
52,Chuck Mercein,NYG,23,FB,13,10,27,152,5.6,0,20,,2.1,11.7,3,MercCh00
53,Monty Stickles,SFO,28,TE,14,14,27,315,11.7,2,38,,1.9,22.5,0,SticMo00
54,Frank Clarke,DAL,32,E,14,0,26,355,13.7,4,33,,1.9,25.4,0,ClarFr00
