Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,Player-additional
1,Bill Brown,MIN,28,FB,14,14,251,829,6,33,3.3,59.2,4,BrowBi00
2,Dick Bass*,RAM,29,FB,14,14,248,1090,8,50,4.4,77.9,5,BassDi00
3,Gale Sayers*+,CHI,23,HB,14,13,229,1231,8,58,5.4,87.9,2,SayeGa00
4,Leroy Kelly*+,CLE,24,HB,14,14,209,1141,15,70,5.5,81.5,1,KellLe00
5,Jim Taylor,GNB,31,FB,14,14,204,705,4,19,3.5,50.4,4,TaylJi00
6,Junior Coffey,ATL,24,HB,14,14,199,722,4,37,3.6,51.6,4,CoffJu00
7,Johnny Roland*,STL,23,HB,14,13,192,695,5,50,3.6,49.6,4,RolaJo00
8,Ken Willard*,SFO,23,FB,14,14,191,763,5,49,4.0,54.5,7,WillKe02
9,Don Perkins*,DAL,28,FB,14,14,186,726,8,24,3.9,51.9,1,PerkDo00
10,Dan Reeves,DAL,22,HB,14,14,175,757,8,67,4.3,54.1,6,ReevDa00
11,Willie Asbury,PIT,23,FB,14,12,169,544,7,45,3.2,38.9,6,AsbuWi00
12,Timmy Brown,PHI,29,HB,13,12,161,548,3,24,3.4,42.2,4,BrowTi01
13,Tom Nowatzke,DET,24,FB,14,14,151,512,6,21,3.4,36.6,6,NowaTo00
14,Ernie Green*,CLE,28,FB,14,14,144,750,3,35,5.2,53.6,2,GreeEr01
15,Tony Lorick,BAL,25,FB,14,11,143,524,3,41,3.7,37.4,2,LoriTo00
16,Amos Marsh,DET,27,HB,14,12,134,433,3,27,3.2,30.9,5,MarsAm00
17,John David Crow,SFO,31,HB,14,14,121,477,1,31,3.9,34.1,1,CrowJo00
18,Ernie Wheelwright,ATL,27,FB,14,14,121,458,3,65,3.8,32.7,2,WheeEr00
19,Elijah Pitts,GNB,28,HB,14,8,115,393,7,20,3.4,28.1,4,PittEl00
20,Prentice Gautt,STL,28,FB,14,6,110,370,1,23,3.4,26.4,0,GautPr00
21,Jerry Hill,BAL,27,FB,11,5,104,395,0,14,3.8,35.9,2,HillJe00
22,Tom Moore,RAM,28,HB,14,14,104,272,1,18,2.6,19.4,1,MoorTo00
23,Earl Gros,PHI,26,FB,14,6,102,396,7,26,3.9,28.3,3,GrosEa00
24,Ronnie Bull,CHI,26,FB,14,10,100,318,0,13,3.2,22.7,4,BullRo00
25,Willis Crenshaw,STL,25,FB,14,7,94,360,0,33,3.8,25.7,5,CrenWi00
26,Chuck Mercein,NYG,23,FB,13,10,94,327,0,22,3.5,25.2,3,MercCh00
27,A.D. Whitfield,WAS,23,HB/FB,14,10,93,472,2,63,5.1,33.7,3,WhitA.00
28,Dave Osborn,MIN,23,RB,14,3,87,344,1,25,4.0,24.6,2,OsboDa00
29,Charley Taylor*,WAS,25,HB/LE,14,14,87,262,3,24,3.0,18.7,6,TaylCh00
