Rk,Player,Tm,Age,Pos,G,GS,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G,Player-additional
1,Bruce Gossett*,RAM,25,K,14,0,,,,,,,,,,,,29,29,28,49,,113,8.1,GossBr20
2,Danny Villanueva,DAL,29,K,14,0,,,,,,,,,,,,56,56,17,31,,107,7.6,VillDa21
3,Charlie Gogolak,WAS,22,K,14,0,,,,,,,,,,,,39,41,22,34,,105,7.5,GogoCh20
4,Lou Michaels,BAL,31,LDE,14,14,,,,,,,,,,,,35,36,21,39,,98,7.0,MichLo20
5,Mike Clark*,PIT,26,K,14,0,,,,,,,,,,,,34,34,21,32,,97,6.9,ClarMi20
6,Jim Bakken,STL,26,K,14,0,,,,,,,,,,,,27,28,23,40,,96,6.9,BakkJi20
7,Leroy Kelly*+,CLE,24,HB,14,14,15,1,,,,,,16,,,,,,,,,96,6.9,KellLe00
8,Dan Reeves,DAL,22,HB,14,14,8,8,,,,,,16,,,,,,,,,96,6.9,ReevDa00
9,Sam Baker,PHI,37,K,14,0,,,,,,,,,,,,38,39,18,25,,92,6.6,BakeSa20
10,Charley Taylor*,WAS,25,HB/LE,14,14,3,12,,,,,,15,,,,,,,,,90,6.4,TaylCh00
11,Fred Cox,MIN,28,K,14,0,,,,,,,,,,,,34,34,18,33,,88,6.3,CoxxFr20
12,Tommy Davis,SFO,32,K,14,0,,,,,,,,,,,,38,39,16,31,,86,6.1,DaviTo20
13,Lou Groza,CLE,42,K,14,0,,,,,,,,,,,,51,52,9,23,,78,5.6,GrozLo20
14,Bob Hayes*+,DAL,24,LE,14,14,,13,,,,,,13,,,,,,,,,78,5.6,HayeBo00
15,Roger LeClerc,CHI,30,K,14,1,,,,,,,,,,,,24,25,18,30,,78,5.6,LeClRo20
16,Don Chandler,GNB,32,P,14,0,,,,,,,,,,,,41,43,12,28,,77,5.5,ChanDo20
17,Pete Gogolak,NYG,24,K,14,0,,,,,,,,,,,,29,31,16,28,,77,5.5,GogoPe20
18,Gary Collins*,CLE,26,FL,14,14,,12,,,,,,12,,,,,,,,,72,5.1,CollGa00
19,Gale Sayers*+,CHI,23,HB,14,13,8,2,,2,,,,12,,,,,,,,,72,5.1,SayeGa00
20,Bobby Mitchell,WAS,31,FL,14,13,1,9,,,,,,10,,,,,,,,,60,4.3,MitcBo00
21,Elijah Pitts,GNB,28,HB,14,8,7,3,,,,,,10,,,,,,,,,60,4.3,PittEl00
22,Willie Asbury,PIT,23,FB,14,12,7,2,,,,,,9,,,,,,,,,54,3.9,AsbuWi00
23,Ernie Green*,CLE,28,FB,14,14,3,6,,,,,,9,,,,,,,,,54,3.9,GreeEr01
24,Earl Gros,PHI,26,FB,14,6,7,2,,,,,,9,,,,,,,,,54,3.9,GrosEa00
25,John Mackey*+,BAL,25,TE,14,14,,9,,,,,,9,,,,,,,,,54,3.9,MackJo00
26,Garo Yepremian,DET,22,K,9,0,,,,,,,,,,,,11,11,13,22,,50,5.6,yepregar01
27,Dick Bass*,RAM,29,FB,14,14,8,,,,,,,8,,,,,,,,,48,3.4,BassDi00
28,Timmy Brown,PHI,29,HB,13,12,3,3,,2,,,,8,,,,,,,,,48,3.7,BrowTi01
29,Homer Jones,NYG,25,LE,14,10,,8,,,,,,8,,,,,,,,,48,3.4,JoneHo00
30,Joe Morrison,NYG,29,FL/HB,14,14,2,6,,,,,,8,,,,,,,,,48,3.4,MorrJo01
31,Don Perkins*,DAL,28,FB,14,14,8,,,,,,,8,,,,,,,,,48,3.4,PerkDo00
32,Lou Kirouac,ATL,26,K,14,0,,,,,,,,,,,,19,24,9,18,,46,3.3,KiroLo20
33,Raymond Berry,BAL,33,LE,14,14,,7,,,,,,7,,,,,,,,,42,3.0,BerrRa00
34,Carroll Dale,GNB,28,TE/LE,14,13,,7,,,,,,7,,,,,,,,,42,3.0,DaleCa00
35,Tom Nowatzke,DET,24,FB,14,14,6,1,,,,,,7,,,,,,,,,42,3.0,NowaTo00
36,Ken Willard*,SFO,23,FB,14,14,5,2,,,,,,7,,,,,,,,,42,3.0,WillKe02
37,Bill Brown,MIN,28,FB,14,14,6,,,,,,,6,,,,,,,,,36,2.6,BrowBi00
38,Pete Retzlaff,PHI,35,TE,14,14,,6,,,,,,6,,,,,,,,,36,2.6,RetzPe00
39,Johnny Roland*,STL,23,HB,14,13,5,,1,,,,,6,,,,,,,,,36,2.6,RolaJo00
40,Jerry Smith,WAS,23,LE/TE,14,14,,6,,,,,,6,,,,,,,,,36,2.6,SmitJe01
41,Jim Taylor,GNB,31,FB,14,14,4,2,,,,,,6,,,,,,,,,36,2.6,TaylJi00
42,Paul Warfield,CLE,24,LE,14,14,,5,,,1,,,6,,,,,,,,,36,2.6,WarfPa00
43,Ernie Wheelwright,ATL,27,FB,14,14,3,3,,,,,,6,,,,,,,,,36,2.6,WheeEr00
44,Gary Ballman,PIT,26,LE,13,13,,5,,,,,,5,,,,,,,,,30,2.3,BallGa00
45,Junior Coffey,ATL,24,HB,14,14,4,1,,,,,,5,,,,,,,,,30,2.1,CoffJu00
46,Billy Gambrell,STL,25,SE,14,3,,5,,,,,,5,,,,,,,,,30,2.1,GambBi00
47,Paul Hornung,GNB,31,HB,9,6,2,3,,,,,,5,,,,,,,,,30,3.3,HornPa00
48,Jim Jones,CHI,25,LE,14,14,,5,,,,,,5,,,,,,,,,30,2.1,JoneJi01
49,Don Meredith*,DAL,28,QB,13,13,5,,,,,,,5,,,,,,,,,30,2.3,MereDo00
50,Dave Parks*,SFO,25,LE,13,13,,5,,,,,,5,,,,,,,,,30,2.3,ParkDa00
51,Pat Studstill*+,DET,28,FL,14,13,,5,,,,,,5,,,,,,,,,30,2.1,StudPa00
52,Tom Woodeshick,PHI,25,RB,14,4,4,1,,,,,,5,,,,,,,,,30,2.1,WoodTo01
53,Cannonball Butler,PIT,23,RB,14,3,2,1,,1,,,,4,,,,,,,,,24,1.7,ButlCa00
54,Preston Carpenter,2TM,32,TE,13,13,,4,,,,,,4,,,0,,,,,,24,1.8,CarpPr00
55,Frank Clarke,DAL,32,E,14,0,,4,,,,,,4,,,,,,,,,24,1.7,ClarFr00
56,John David Crow,SFO,31,HB,14,14,1,3,,,,,,4,,,,,,,,,24,1.7,CrowJo00
57,John Hilton,PIT,24,TE,14,14,,4,,,,,,4,,,,,,,,,24,1.7,HiltJo00
58,Roy Jefferson,PIT,23,FL,14,14,,4,,,,,,4,,,,,,,,,24,1.7,JeffRo00
59,Randy Johnson,ATL,22,QB,14,11,4,,,,,,,4,,,,,,,,,24,1.7,JohnRa00
60,Joe Don Looney,2TM,24,HB,13,1,4,,,,,,,4,,,0,,,,,,24,1.8,LoonJo00
61,Tom Moore,RAM,28,HB,14,14,1,3,,,,,,4,,,,,,,,,24,1.7,MoorTo00
62,Fran Tarkenton,MIN,26,QB,14,12,4,,,,,,,4,,,,,,,,,24,1.7,TarkFr00
63,Aaron Thomas,NYG,29,TE/FL,14,13,,4,,,,,,4,,,,,,,,,24,1.7,ThomAa00
64,Donny Anderson,GNB,23,RB,14,0,2,,1,,,,,3,,,,,,,,,18,1.3,AndeDo00
65,Taz Anderson,ATL,28,TE,8,1,,3,,,,,,3,,,,,,,,,18,2.3,AndeTa00
