Player Name,Team,Minutes Played,Player Link
Quion Williams,ABILENE CHRISTIAN,725,https://www.espn.com/mens-college-basketball/player/_/id/5106274/quion-williams
Leonardo Bettiol,ABILENE CHRISTIAN,712,https://www.espn.com/mens-college-basketball/player/_/id/4896505/leonardo-bettiol
Bradyn Hubbard,ABILENE CHRISTIAN,586,https://www.espn.com/mens-college-basketball/player/_/id/5241314/bradyn-hubbard
Hunter Jack Madden,ABILENE CHRISTIAN,724,https://www.espn.com/mens-college-basketball/player/_/id/4701572/hunter-jack-madden
Dontrez Williams,ABILENE CHRISTIAN,431,https://www.espn.com/mens-college-basketball/player/_/id/5241311/dontrez-williams
Rich Smith,ABILENE CHRISTIAN,537,https://www.espn.com/mens-college-basketball/player/_/id/5241310/rich-smith
Christian Alston,ABILENE CHRISTIAN,168,https://www.espn.com/mens-college-basketball/player/_/id/5241312/christian-alston
Nasir DeGruy,ABILENE CHRISTIAN,511,https://www.espn.com/mens-college-basketball/player/_/id/5177704/nasir-degruy
Cade Hornecker,ABILENE CHRISTIAN,236,https://www.espn.com/mens-college-basketball/player/_/id/5107885/cade-hornecker
Yaniel Rivera,ABILENE CHRISTIAN,330,https://www.espn.com/mens-college-basketball/player/_/id/5177702/yaniel-rivera
Colby Tanner,ABILENE CHRISTIAN,71,https://www.espn.com/mens-college-basketball/player/_/id/5106345/colby-tanner
Joseph Venzant,ABILENE CHRISTIAN,157,https://www.espn.com/mens-college-basketball/player/_/id/4897572/joseph-venzant
Ma'Shy Hill,ABILENE CHRISTIAN,149,https://www.espn.com/mens-college-basketball/player/_/id/5177705/mashy-hill
Jack Sawyer,ABILENE CHRISTIAN,87,https://www.espn.com/mens-college-basketball/player/_/id/5241313/jack-sawyer
