Player Name,Team,Minutes Played,Player Link
Amarr Knox,ALABAMA STATE,793,https://www.espn.com/mens-college-basketball/player/_/id/4812368/amarr-knox
CJ Hines,ALABAMA STATE,757,https://www.espn.com/mens-college-basketball/player/_/id/5177528/cj-hines
TJ Madlock,ALABAMA STATE,738,https://www.espn.com/mens-college-basketball/player/_/id/4898331/tj-madlock
Micah Simpson,ALABAMA STATE,492,https://www.espn.com/mens-college-basketball/player/_/id/5242807/micah-simpson
Micah Octave,ALABAMA STATE,526,https://www.espn.com/mens-college-basketball/player/_/id/5177530/micah-octave
Jasteven Walker,ALABAMA STATE,474,https://www.espn.com/mens-college-basketball/player/_/id/5107441/jasteven-walker
Tyler Mack,ALABAMA STATE,339,https://www.espn.com/mens-college-basketball/player/_/id/5178892/tyler-mack
Jalen Keago,ALABAMA STATE,223,https://www.espn.com/mens-college-basketball/player/_/id/5242809/jalen-keago
D'Ante Bass,ALABAMA STATE,323,https://www.espn.com/mens-college-basketball/player/_/id/5105597/dante-bass
Shawn Fulcher,ALABAMA STATE,250,https://www.espn.com/mens-college-basketball/player/_/id/5177190/shawn-fulcher
Ubong Okon,ALABAMA STATE,368,https://www.espn.com/mens-college-basketball/player/_/id/5177532/ubong-okon
Jordon Marshall,ALABAMA STATE,5,https://www.espn.com/mens-college-basketball/player/_/id/5242810/jordon-marshall
Mario Andrews,ALABAMA STATE,138,https://www.espn.com/mens-college-basketball/player/_/id/5242808/mario-andrews
