Player Name,Team,Minutes Played,Player Link
Mark Sears,ALABAMA,873,https://www.espn.com/mens-college-basketball/player/_/id/4703530/mark-sears
Grant Nelson,ALABAMA,710,https://www.espn.com/mens-college-basketball/player/_/id/4702670/grant-nelson
Aden Holloway,ALABAMA,578,https://www.espn.com/mens-college-basketball/player/_/id/4684276/aden-holloway
Latrell Wrightsell Jr.,ALABAMA,205,https://www.espn.com/mens-college-basketball/player/_/id/4702484/latrell-wrightsell-jr
Labaron Philon,ALABAMA,633,https://www.espn.com/mens-college-basketball/player/_/id/4873090/labaron-philon
Chris Youngblood,ALABAMA,443,https://www.espn.com/mens-college-basketball/player/_/id/4706557/chris-youngblood
Clifford Omoruyi,ALABAMA,512,https://www.espn.com/mens-college-basketball/player/_/id/4433155/clifford-omoruyi
Derrion Reid,ALABAMA,293,https://www.espn.com/mens-college-basketball/player/_/id/5095155/derrion-reid
Mouhamed Dioubate,ALABAMA,411,https://www.espn.com/mens-college-basketball/player/_/id/4895780/mouhamed-dioubate
Jarin Stevenson,ALABAMA,508,https://www.espn.com/mens-college-basketball/player/_/id/4873181/jarin-stevenson
Houston Mallette,ALABAMA,47,https://www.espn.com/mens-college-basketball/player/_/id/4709141/houston-mallette
Aiden Sherrell,ALABAMA,203,https://www.espn.com/mens-college-basketball/player/_/id/4873184/aiden-sherrell
Max Scharnowski,ALABAMA,8,https://www.espn.com/mens-college-basketball/player/_/id/5105513/max-scharnowski
