Player Name,Team,Minutes Played,Player Link
Matt Rogers,AMERICAN UNIVERSITY,791,https://www.espn.com/mens-college-basketball/player/_/id/4575108/matt-rogers
Elijah Stephens,AMERICAN UNIVERSITY,761,https://www.espn.com/mens-college-basketball/player/_/id/4897139/elijah-stephens
Greg Jones,AMERICAN UNIVERSITY,713,https://www.espn.com/mens-college-basketball/player/_/id/5176028/greg-jones
Colin Smalls,AMERICAN UNIVERSITY,725,https://www.espn.com/mens-college-basketball/player/_/id/4433245/colin-smalls
Matt Mayock,AMERICAN UNIVERSITY,731,https://www.espn.com/mens-college-basketball/player/_/id/5176029/matt-mayock
Geoff Sprouse,AMERICAN UNIVERSITY,350,https://www.espn.com/mens-college-basketball/player/_/id/5105660/geoff-sprouse
Eric Michaels,AMERICAN UNIVERSITY,274,https://www.espn.com/mens-college-basketball/player/_/id/5242760/eric-michaels
Lincoln Ball,AMERICAN UNIVERSITY,743,https://www.espn.com/mens-college-basketball/player/_/id/4700962/lincoln-ball
Wyatt Nausadis,AMERICAN UNIVERSITY,374,https://www.espn.com/mens-college-basketball/player/_/id/5242758/wyatt-nausadis
Julen Iturbe,AMERICAN UNIVERSITY,202,https://www.espn.com/mens-college-basketball/player/_/id/5242761/julen-iturbe
Alex Daniels,AMERICAN UNIVERSITY,23,https://www.espn.com/mens-college-basketball/player/_/id/5181761/alex-daniels
Adam Holod,AMERICAN UNIVERSITY,7,https://www.espn.com/mens-college-basketball/player/_/id/5181762/adam-holod
Adrian Samuels,AMERICAN UNIVERSITY,104,https://www.espn.com/mens-college-basketball/player/_/id/5105280/adrian-samuels
Mason Whittaker,AMERICAN UNIVERSITY,86,https://www.espn.com/mens-college-basketball/player/_/id/4897949/mason-whittaker
Noah Jones,AMERICAN UNIVERSITY,16,https://www.espn.com/mens-college-basketball/player/_/id/5176027/noah-jones
