Player Name,Team,Minutes Played,Player Link
Myles Tate,APP STATE,957,https://www.espn.com/mens-college-basketball/player/_/id/4572452/myles-tate
CJ Huntley,APP STATE,933,https://www.espn.com/mens-college-basketball/player/_/id/4702602/cj-huntley
Jalil Beaubrun,APP STATE,588,https://www.espn.com/mens-college-basketball/player/_/id/5109784/jalil-beaubrun
Dior Conners,APP STATE,773,https://www.espn.com/mens-college-basketball/player/_/id/5239578/dior-conners
Alonzo Dodd,APP STATE,631,https://www.espn.com/mens-college-basketball/player/_/id/5108925/alonzo-dodd
Jackson Threadgill,APP STATE,626,https://www.espn.com/mens-college-basketball/player/_/id/4702738/jackson-threadgill
Luke Wilson,APP STATE,312,https://www.espn.com/mens-college-basketball/player/_/id/5176754/luke-wilson
Cameron O'Kelley,APP STATE,11,https://www.espn.com/mens-college-basketball/player/_/id/5239584/cameron-okelley
Ben Ezeagu,APP STATE,45,https://www.espn.com/mens-college-basketball/player/_/id/5239580/ben-ezeagu
Michael Marcus Jr.,APP STATE,302,https://www.espn.com/mens-college-basketball/player/_/id/5239587/michael-marcus-jr
Jonah Long,APP STATE,12,https://www.espn.com/mens-college-basketball/player/_/id/5239583/jonah-long
Anthony Alston,APP STATE,113,https://www.espn.com/mens-college-basketball/player/_/id/5239581/anthony-alston
Jamil Muttilib,APP STATE,214,https://www.espn.com/mens-college-basketball/player/_/id/5239582/jamil-muttilib
Will Coble,APP STATE,40,https://www.espn.com/mens-college-basketball/player/_/id/5239585/will-coble
Jason Clarke Jr.,APP STATE,60,https://www.espn.com/mens-college-basketball/player/_/id/5239579/jason-clarke-jr
Luke Ledford,APP STATE,11,https://www.espn.com/mens-college-basketball/player/_/id/5176759/luke-ledford
