Player Name,Team,Minutes Played,Player Link
BJ Freeman,ARIZONA STATE,718,https://www.espn.com/mens-college-basketball/player/_/id/5106769/bj-freeman
Alston Mason,ARIZONA STATE,944,https://www.espn.com/mens-college-basketball/player/_/id/4816113/alston-mason
Basheer Jihad,ARIZONA STATE,759,https://www.espn.com/mens-college-basketball/player/_/id/4898009/basheer-jihad
Joson Sanon,ARIZONA STATE,548,https://www.espn.com/mens-college-basketball/player/_/id/5142625/joson-sanon
Adam Miller,ARIZONA STATE,788,https://www.espn.com/mens-college-basketball/player/_/id/4432175/adam-miller
Jayden Quaintance,ARIZONA STATE,685,https://www.espn.com/mens-college-basketball/player/_/id/5101845/jayden-quaintance
Amier Ali,ARIZONA STATE,380,https://www.espn.com/mens-college-basketball/player/_/id/4873130/amier-ali
Shawn Phillips Jr.,ARIZONA STATE,365,https://www.espn.com/mens-college-basketball/player/_/id/5105537/shawn-phillips-jr
Austin Nunez,ARIZONA STATE,44,https://www.espn.com/mens-college-basketball/player/_/id/4712837/austin-nunez
Bobby Hurley,ARIZONA STATE,24,https://www.espn.com/mens-college-basketball/player/_/id/4898109/bobby-hurley
Jordan Williams,ARIZONA STATE,3,https://www.espn.com/mens-college-basketball/player/_/id/4898112/jordan-williams
Connor Braun,ARIZONA STATE,3,https://www.espn.com/mens-college-basketball/player/_/id/4592983/connor-braun
Chianti Clay,ARIZONA STATE,2,https://www.espn.com/mens-college-basketball/player/_/id/5182816/chianti-clay
Quentin McCoy,ARIZONA STATE,3,https://www.espn.com/mens-college-basketball/player/_/id/5239488/quentin-mccoy
Trevor Best,ARIZONA STATE,9,https://www.espn.com/mens-college-basketball/player/_/id/5263625/trevor-best
