Player Name,Team,Minutes Played,Player Link
Caleb Love,ARIZONA,904,https://www.espn.com/mens-college-basketball/player/_/id/4433144/caleb-love
Jaden Bradley,ARIZONA,907,https://www.espn.com/mens-college-basketball/player/_/id/4432737/jaden-bradley
KJ Lewis,ARIZONA,706,https://www.espn.com/mens-college-basketball/player/_/id/5174952/kj-lewis
Henri Veesaar,ARIZONA,513,https://www.espn.com/mens-college-basketball/player/_/id/5105571/henri-veesaar
Trey Townsend,ARIZONA,562,https://www.espn.com/mens-college-basketball/player/_/id/4702721/trey-townsend
Tobe Awaka,ARIZONA,537,https://www.espn.com/mens-college-basketball/player/_/id/5105555/tobe-awaka
Anthony Dell'Orso,ARIZONA,511,https://www.espn.com/mens-college-basketball/player/_/id/5108141/anthony-dellorso
Motiejus Krivas,ARIZONA,127,https://www.espn.com/mens-college-basketball/player/_/id/5174954/motiejus-krivas
Carter Bryant,ARIZONA,496,https://www.espn.com/mens-college-basketball/player/_/id/5061568/carter-bryant
Conrad Martinez,ARIZONA,84,https://www.espn.com/mens-college-basketball/player/_/id/5174957/conrad-martinez
Emmanuel Stephen,ARIZONA,21,https://www.espn.com/mens-college-basketball/player/_/id/5164369/emmanuel-stephen
Sven Djopmo,ARIZONA,2,https://www.espn.com/mens-college-basketball/player/_/id/5239487/sven-djopmo
Grant Weitman,ARIZONA,19,https://www.espn.com/mens-college-basketball/player/_/id/4702373/grant-weitman
Addison Arnold,ARIZONA,13,https://www.espn.com/mens-college-basketball/player/_/id/4896359/addison-arnold
Liam Lloyd,ARIZONA,23,https://www.espn.com/mens-college-basketball/player/_/id/4702029/liam-lloyd
Will Menaugh,ARIZONA,10,https://www.espn.com/mens-college-basketball/player/_/id/4896361/will-menaugh
Luke Champion,ARIZONA,9,https://www.espn.com/mens-college-basketball/player/_/id/4585593/luke-champion
Jackson Francois,ARIZONA,2,https://www.espn.com/mens-college-basketball/player/_/id/5105542/jackson-francois
Will Kuykendall,ARIZONA,3,https://www.espn.com/mens-college-basketball/player/_/id/5174953/will-kuykendall
Jackson Cook,ARIZONA,2,https://www.espn.com/mens-college-basketball/player/_/id/5174956/jackson-cook
