Player Name,Team,Minutes Played,Player Link
Taryn Todd,ARKANSAS STATE,884,https://www.espn.com/mens-college-basketball/player/_/id/4592288/taryn-todd
Kobe Julien,ARKANSAS STATE,722,https://www.espn.com/mens-college-basketball/player/_/id/4397659/kobe-julien
Joseph Pinion,ARKANSAS STATE,724,https://www.espn.com/mens-college-basketball/player/_/id/4699760/joseph-pinion
Izaiyah Nelson,ARKANSAS STATE,521,https://www.espn.com/mens-college-basketball/player/_/id/5107251/izaiyah-nelson
Terrance Ford Jr.,ARKANSAS STATE,828,https://www.espn.com/mens-college-basketball/player/_/id/5107248/terrance-ford-jr
Derrian Ford,ARKANSAS STATE,542,https://www.espn.com/mens-college-basketball/player/_/id/4684720/derrian-ford
Rashaud Marshall,ARKANSAS STATE,572,https://www.espn.com/mens-college-basketball/player/_/id/5060699/rashaud-marshall
Josh Hill,ARKANSAS STATE,107,https://www.espn.com/mens-college-basketball/player/_/id/5196867/josh-hill
Dyondre Dominguez,ARKANSAS STATE,288,https://www.espn.com/mens-college-basketball/player/_/id/4701126/dyondre-dominguez
Justin Johnson,ARKANSAS STATE,93,https://www.espn.com/mens-college-basketball/player/_/id/5239588/justin-johnson
Avery Felts,ARKANSAS STATE,346,https://www.espn.com/mens-college-basketball/player/_/id/4431959/avery-felts
Cody Head,ARKANSAS STATE,111,https://www.espn.com/mens-college-basketball/player/_/id/5176192/cody-head
Kameron Johnson,ARKANSAS STATE,56,https://www.espn.com/mens-college-basketball/player/_/id/5239589/kameron-johnson
Zane Butler,ARKANSAS STATE,38,https://www.espn.com/mens-college-basketball/player/_/id/4711058/zane-butler
Jacob St. Clair,ARKANSAS STATE,18,https://www.espn.com/mens-college-basketball/player/_/id/5176767/jacob-st-clair
