Player Name,Team,Minutes Played,Player Link
LJ Thomas,AUSTIN PEAY,848,https://www.espn.com/mens-college-basketball/player/_/id/4683842/lj-thomas
Sai Witt,AUSTIN PEAY,482,https://www.espn.com/mens-college-basketball/player/_/id/4896962/sai-witt
Isaac Haney,AUSTIN PEAY,659,https://www.espn.com/mens-college-basketball/player/_/id/4897477/isaac-haney
Tate McCubbin,AUSTIN PEAY,710,https://www.espn.com/mens-college-basketball/player/_/id/5239748/tate-mccubbin
Anton Brookshire,AUSTIN PEAY,759,https://www.espn.com/mens-college-basketball/player/_/id/4683734/anton-brookshire
Quan Lax,AUSTIN PEAY,759,https://www.espn.com/mens-college-basketball/player/_/id/5239753/quan-lax
Tekao Carpenter,AUSTIN PEAY,543,https://www.espn.com/mens-college-basketball/player/_/id/5239749/tekao-carpenter
Akili Evans,AUSTIN PEAY,195,https://www.espn.com/mens-college-basketball/player/_/id/4897956/akili-evans
Darius Dawson,AUSTIN PEAY,120,https://www.espn.com/mens-college-basketball/player/_/id/5239752/darius-dawson
Hansel Enmanuel,AUSTIN PEAY,280,https://www.espn.com/mens-college-basketball/player/_/id/5108913/hansel-enmanuel
Daniel Loos,AUSTIN PEAY,157,https://www.espn.com/mens-college-basketball/player/_/id/5175843/daniel-loos
JaVar Daniel,AUSTIN PEAY,170,https://www.espn.com/mens-college-basketball/player/_/id/5194058/javar-daniel
Terrell Gaines,AUSTIN PEAY,89,https://www.espn.com/mens-college-basketball/player/_/id/5239750/terrell-gaines
Me'Kell Burries,AUSTIN PEAY,76,https://www.espn.com/mens-college-basketball/player/_/id/5239751/mekell-burries
Bowen Hammer,AUSTIN PEAY,26,https://www.espn.com/mens-college-basketball/player/_/id/5239754/bowen-hammer
