Player Name,Team,Minutes Played,Player Link
Jermahri Hill,BALL STATE,867,https://www.espn.com/mens-college-basketball/player/_/id/5241480/jermahri-hill
Payton Sparks,BALL STATE,640,https://www.espn.com/mens-college-basketball/player/_/id/4898008/payton-sparks
Mickey Pearson Jr.,BALL STATE,789,https://www.espn.com/mens-college-basketball/player/_/id/4431796/mickey-pearson-jr
Juanse Gorosito,BALL STATE,714,https://www.espn.com/mens-college-basketball/player/_/id/4870444/juanse-gorosito
Jeremiah Hernandez,BALL STATE,596,https://www.espn.com/mens-college-basketball/player/_/id/4433007/jeremiah-hernandez
Ethan Brittain-Watts,BALL STATE,712,https://www.espn.com/mens-college-basketball/player/_/id/4431909/ethan-brittain-watts
TJ Burch,BALL STATE,137,https://www.espn.com/mens-college-basketball/player/_/id/5241483/tj-burch
Ben Hendriks,BALL STATE,356,https://www.espn.com/mens-college-basketball/player/_/id/4593398/ben-hendriks
Joey Hart,BALL STATE,270,https://www.espn.com/mens-college-basketball/player/_/id/5093254/joey-hart
Mason Jones,BALL STATE,308,https://www.espn.com/mens-college-basketball/player/_/id/5176167/mason-jones
Zane Doughty,BALL STATE,40,https://www.espn.com/mens-college-basketball/player/_/id/5176168/zane-doughty
Jurica Zagorsak,BALL STATE,13,https://www.espn.com/mens-college-basketball/player/_/id/5176165/jurica-zagorsak
Kody Clancy,BALL STATE,9,https://www.espn.com/mens-college-basketball/player/_/id/5241482/kody-clancy
