Player Name,Team,Minutes Played,Player Link
Norchad Omier,BAYLOR,831,https://www.espn.com/mens-college-basketball/player/_/id/4702134/norchad-omier
VJ Edgecombe,BAYLOR,794,https://www.espn.com/mens-college-basketball/player/_/id/5124612/vj-edgecombe
Robert Wright III,BAYLOR,817,https://www.espn.com/mens-college-basketball/player/_/id/5060709/robert-wright-iii
Jeremy Roach,BAYLOR,638,https://www.espn.com/mens-college-basketball/player/_/id/4433135/jeremy-roach
Langston Love,BAYLOR,347,https://www.espn.com/mens-college-basketball/player/_/id/4433265/langston-love
Jayden Nunn,BAYLOR,759,https://www.espn.com/mens-college-basketball/player/_/id/4896614/jayden-nunn
Jalen Celestine,BAYLOR,560,https://www.espn.com/mens-college-basketball/player/_/id/4598611/jalen-celestine
Josh Ojianwuna,BAYLOR,566,https://www.espn.com/mens-college-basketball/player/_/id/4894236/josh-ojianwuna
Jason Asemota,BAYLOR,143,https://www.espn.com/mens-college-basketball/player/_/id/5239489/jason-asemota
Omar Adegbola,BAYLOR,22,https://www.espn.com/mens-college-basketball/player/_/id/5175026/omar-adegbola
Marino Dubravcic,BAYLOR,27,https://www.espn.com/mens-college-basketball/player/_/id/5239492/marino-dubravcic
Davidson Hubbard,BAYLOR,23,https://www.espn.com/mens-college-basketball/player/_/id/5239491/davidson-hubbard
