Player Name,Team,Minutes Played,Player Link
Tymu Chenery,BINGHAMTON,1039,https://www.espn.com/mens-college-basketball/player/_/id/4703434/tymu-chenery
Chris Walker,BINGHAMTON,904,https://www.espn.com/mens-college-basketball/player/_/id/4897213/chris-walker
Gavin Walsh,BINGHAMTON,923,https://www.espn.com/mens-college-basketball/player/_/id/5174815/gavin-walsh
Nehemiah Benson,BINGHAMTON,680,https://www.espn.com/mens-college-basketball/player/_/id/4705270/nehemiah-benson
Ben Callahan-Gold,BINGHAMTON,612,https://www.espn.com/mens-college-basketball/player/_/id/4701223/ben-callahan-gold
Wes Peterson Jr.,BINGHAMTON,668,https://www.espn.com/mens-college-basketball/player/_/id/4897008/wes-peterson-jr
Evan Ashe,BINGHAMTON,609,https://www.espn.com/mens-college-basketball/player/_/id/5174812/evan-ashe
Jackson Benigni,BINGHAMTON,96,https://www.espn.com/mens-college-basketball/player/_/id/5106619/jackson-benigni
Max Sims,BINGHAMTON,43,https://www.espn.com/mens-college-basketball/player/_/id/5174813/max-sims
Jayden Lemond,BINGHAMTON,256,https://www.espn.com/mens-college-basketball/player/_/id/4684622/jayden-lemond
Stephan Snagg,BINGHAMTON,16,https://www.espn.com/mens-college-basketball/player/_/id/5174814/stephan-snagg
Robby Phillips,BINGHAMTON,15,https://www.espn.com/mens-college-basketball/player/_/id/4897998/robby-phillips
Dominic Capriotti,BINGHAMTON,13,https://www.espn.com/mens-college-basketball/player/_/id/5106783/dominic-capriotti
