Player Name,Team,Minutes Played,Player Link
Tyson Degenhart,BOISE STATE,898,https://www.espn.com/mens-college-basketball/player/_/id/4898260/tyson-degenhart
Alvaro Cardenas,BOISE STATE,933,https://www.espn.com/mens-college-basketball/player/_/id/4897535/alvaro-cardenas
Andrew Meadow,BOISE STATE,764,https://www.espn.com/mens-college-basketball/player/_/id/5081887/andrew-meadow
Javan Buchanan,BOISE STATE,606,https://www.espn.com/mens-college-basketball/player/_/id/5241230/javan-buchanan
O'Mar Stanley,BOISE STATE,487,https://www.espn.com/mens-college-basketball/player/_/id/4703032/omar-stanley
Pearson Carmichael,BOISE STATE,157,https://www.espn.com/mens-college-basketball/player/_/id/5117627/pearson-carmichael
Julian Bowie,BOISE STATE,378,https://www.espn.com/mens-college-basketball/player/_/id/5241229/julian-bowie
Dylan Anderson,BOISE STATE,238,https://www.espn.com/mens-college-basketball/player/_/id/4432739/dylan-anderson
Chris Lockett Jr.,BOISE STATE,282,https://www.espn.com/mens-college-basketball/player/_/id/4683768/chris-lockett-jr
Emmanuel Ugbo,BOISE STATE,230,https://www.espn.com/mens-college-basketball/player/_/id/5195304/emmanuel-ugbo
RJ Keene II,BOISE STATE,444,https://www.espn.com/mens-college-basketball/player/_/id/4683941/rj-keene-ii
Brennan Ramirez,BOISE STATE,6,https://www.espn.com/mens-college-basketball/player/_/id/5252550/brennan-ramirez
