Player Name,Team,Minutes Played,Player Link
Donald Hand Jr.,BOSTON COLLEGE,895,https://www.espn.com/mens-college-basketball/player/_/id/4683629/donald-hand-jr
Chad Venning,BOSTON COLLEGE,704,https://www.espn.com/mens-college-basketball/player/_/id/4711312/chad-venning
Elijah Strong,BOSTON COLLEGE,544,https://www.espn.com/mens-college-basketball/player/_/id/5174555/elijah-strong
Fred Payne,BOSTON COLLEGE,470,https://www.espn.com/mens-college-basketball/player/_/id/4684268/fred-payne
Dion Brown,BOSTON COLLEGE,681,https://www.espn.com/mens-college-basketball/player/_/id/5107242/dion-brown
Joshua Beadle,BOSTON COLLEGE,522,https://www.espn.com/mens-college-basketball/player/_/id/4698718/joshua-beadle
Roger McFarlane,BOSTON COLLEGE,672,https://www.espn.com/mens-college-basketball/player/_/id/4897313/roger-mcfarlane
Chas Kelley III,BOSTON COLLEGE,504,https://www.espn.com/mens-college-basketball/player/_/id/4888733/chas-kelley-iii
Jayden Hastings,BOSTON COLLEGE,380,https://www.espn.com/mens-college-basketball/player/_/id/4685671/jayden-hastings
Luka Toews,BOSTON COLLEGE,145,https://www.espn.com/mens-college-basketball/player/_/id/5151855/luka-toews
Kany Tchanda,BOSTON COLLEGE,54,https://www.espn.com/mens-college-basketball/player/_/id/5061602/kany-tchanda
Jack Di Donna,BOSTON COLLEGE,1,https://www.espn.com/mens-college-basketball/player/_/id/5183069/jack-di-donna
Ethan Soares,BOSTON COLLEGE,1,https://www.espn.com/mens-college-basketball/player/_/id/5183070/ethan-soares
Will Eggemeier,BOSTON COLLEGE,1,https://www.espn.com/mens-college-basketball/player/_/id/5238156/will-eggemeier
