Player Name,Team,Minutes Played,Player Link
Kyrone Alexander,BOSTON UNIVERSITY,819,https://www.espn.com/mens-college-basketball/player/_/id/5176037/kyrone-alexander
Michael McNair,BOSTON UNIVERSITY,817,https://www.espn.com/mens-college-basketball/player/_/id/5176039/michael-mcnair
Miles Brewster,BOSTON UNIVERSITY,741,https://www.espn.com/mens-college-basketball/player/_/id/4702490/miles-brewster
Ethan Okwuosa,BOSTON UNIVERSITY,26,https://www.espn.com/mens-college-basketball/player/_/id/5176036/ethan-okwuosa
Malcolm Chimezie,BOSTON UNIVERSITY,614,https://www.espn.com/mens-college-basketball/player/_/id/4684448/malcolm-chimezie
Azmar Abdullah,BOSTON UNIVERSITY,505,https://www.espn.com/mens-college-basketball/player/_/id/5242764/azmar-abdullah
Matai Baptiste,BOSTON UNIVERSITY,225,https://www.espn.com/mens-college-basketball/player/_/id/5176035/matai-baptiste
Ben Palacios,BOSTON UNIVERSITY,268,https://www.espn.com/mens-college-basketball/player/_/id/4910095/ben-palacios
Nico Nobili,BOSTON UNIVERSITY,503,https://www.espn.com/mens-college-basketball/player/_/id/5105663/nico-nobili
Ben Defty,BOSTON UNIVERSITY,316,https://www.espn.com/mens-college-basketball/player/_/id/5242765/ben-defty
Otto Landrum,BOSTON UNIVERSITY,345,https://www.espn.com/mens-college-basketball/player/_/id/5105666/otto-landrum
Ben Roy,BOSTON UNIVERSITY,653,https://www.espn.com/mens-college-basketball/player/_/id/5105665/ben-roy
Quinn Nielsen,BOSTON UNIVERSITY,18,https://www.espn.com/mens-college-basketball/player/_/id/5176175/quinn-nielsen
Ryan Sutliff,BOSTON UNIVERSITY,25,https://www.espn.com/mens-college-basketball/player/_/id/5176038/ryan-sutliff
Spencer Joyner,BOSTON UNIVERSITY,24,https://www.espn.com/mens-college-basketball/player/_/id/5176040/spencer-joyner
