Player Name,Team,Minutes Played,Player Link
Marcus Johnson,BOWLING GREEN,807,https://www.espn.com/mens-college-basketball/player/_/id/5242561/marcus-johnson
Javontae Campbell,BOWLING GREEN,775,https://www.espn.com/mens-college-basketball/player/_/id/5242560/javontae-campbell
Derrick Butler,BOWLING GREEN,751,https://www.espn.com/mens-college-basketball/player/_/id/5176178/derrick-butler
Trey Thomas,BOWLING GREEN,762,https://www.espn.com/mens-college-basketball/player/_/id/4702531/trey-thomas
Youssef Khayat,BOWLING GREEN,129,https://www.espn.com/mens-college-basketball/player/_/id/5105808/youssef-khayat
Sam Towns,BOWLING GREEN,156,https://www.espn.com/mens-college-basketball/player/_/id/4703531/sam-towns
Jamai Felt,BOWLING GREEN,504,https://www.espn.com/mens-college-basketball/player/_/id/5108050/jamai-felt
DaJion Humphrey,BOWLING GREEN,303,https://www.espn.com/mens-college-basketball/player/_/id/4589475/dajion-humphrey
Wilguens Jr. Exacte,BOWLING GREEN,455,https://www.espn.com/mens-college-basketball/player/_/id/5105646/wilguens-jr-exacte
Braelon Green,BOWLING GREEN,376,https://www.espn.com/mens-college-basketball/player/_/id/5175028/braelon-green
Greg Spurgin,BOWLING GREEN,25,https://www.espn.com/mens-college-basketball/player/_/id/4905915/greg-spurgin
Preston Squire,BOWLING GREEN,134,https://www.espn.com/mens-college-basketball/player/_/id/5242564/preston-squire
Jaxon Pardon,BOWLING GREEN,21,https://www.espn.com/mens-college-basketball/player/_/id/5242559/jaxon-pardon
Mohamed Maxamud,BOWLING GREEN,1,https://www.espn.com/mens-college-basketball/player/_/id/5242563/mohamed-maxamud
