Player Name,Team,Minutes Played,Player Link
Duke Deen,BRADLEY,917,https://www.espn.com/mens-college-basketball/player/_/id/4897149/duke-deen
Zek Montgomery,BRADLEY,870,https://www.espn.com/mens-college-basketball/player/_/id/4897446/zek-montgomery
Darius Hannah,BRADLEY,832,https://www.espn.com/mens-college-basketball/player/_/id/4590399/darius-hannah
Christian Davis,BRADLEY,888,https://www.espn.com/mens-college-basketball/player/_/id/5107965/christian-davis
Almar Atlason,BRADLEY,567,https://www.espn.com/mens-college-basketball/player/_/id/5176313/almar-atlason
Jaquan Johnson,BRADLEY,487,https://www.espn.com/mens-college-basketball/player/_/id/5241360/jaquan-johnson
Demarion Burch,BRADLEY,248,https://www.espn.com/mens-college-basketball/player/_/id/5176312/demarion-burch
Ahmet Jonovic,BRADLEY,381,https://www.espn.com/mens-college-basketball/player/_/id/5122918/ahmet-jonovic
Corey Thomas,BRADLEY,342,https://www.espn.com/mens-college-basketball/player/_/id/5241358/corey-thomas
Connor Dillon,BRADLEY,251,https://www.espn.com/mens-college-basketball/player/_/id/5241357/connor-dillon
Cade Hardtke,BRADLEY,7,https://www.espn.com/mens-college-basketball/player/_/id/4897450/cade-hardtke
Goanar Biliew,BRADLEY,11,https://www.espn.com/mens-college-basketball/player/_/id/5107966/goanar-biliew
Gus Rugaard,BRADLEY,8,https://www.espn.com/mens-college-basketball/player/_/id/5241361/gus-rugaard
Sam Hennessy,BRADLEY,11,https://www.espn.com/mens-college-basketball/player/_/id/4897448/sam-hennessy
Timoty van der Knaap,BRADLEY,46,https://www.espn.com/mens-college-basketball/player/_/id/5241359/timoty-van-der-knaap
Connor Linke,BRADLEY,34,https://www.espn.com/mens-college-basketball/player/_/id/4703891/connor-linke
