Player Name,Team,Minutes Played,Player Link
Kino Lilly Jr.,BROWN,866,https://www.espn.com/mens-college-basketball/player/_/id/4898208/kino-lilly-jr
Landon Lewis,BROWN,585,https://www.espn.com/mens-college-basketball/player/_/id/5106206/landon-lewis
Alexander Lesburt Jr.,BROWN,516,https://www.espn.com/mens-college-basketball/player/_/id/5106208/alexander-lesburt-jr
Aaron Cooley,BROWN,714,https://www.espn.com/mens-college-basketball/player/_/id/4898209/aaron-cooley
Lyndel Erold,BROWN,547,https://www.espn.com/mens-college-basketball/player/_/id/4898207/lyndel-erold
Malcolm Wrisby-Jefferson,BROWN,447,https://www.espn.com/mens-college-basketball/player/_/id/5175853/malcolm-wrisby-jefferson
N'famara Dabo,BROWN,372,https://www.espn.com/mens-college-basketball/player/_/id/5175857/nfamara-dabo
David Rochester,BROWN,209,https://www.espn.com/mens-college-basketball/player/_/id/5241711/david-rochester
Adrian Uchidiuno,BROWN,116,https://www.espn.com/mens-college-basketball/player/_/id/5175855/adrian-uchidiuno
Jeremiah Jenkins,BROWN,323,https://www.espn.com/mens-college-basketball/player/_/id/4873101/jeremiah-jenkins
Wyatt DeGraaf,BROWN,69,https://www.espn.com/mens-college-basketball/player/_/id/5241709/wyatt-degraaf
Jerrell Barron Jr.,BROWN,15,https://www.espn.com/mens-college-basketball/player/_/id/5241710/jerrell-barron-jr
Sam Klores,BROWN,71,https://www.espn.com/mens-college-basketball/player/_/id/4898211/sam-klores
Luke Paragon,BROWN,26,https://www.espn.com/mens-college-basketball/player/_/id/5175854/luke-paragon
