Player Name,Team,Minutes Played,Player Link
Rafael Pinzon,BRYANT,827,https://www.espn.com/mens-college-basketball/player/_/id/4683951/rafael-pinzon
Earl Timberlake,BRYANT,937,https://www.espn.com/mens-college-basketball/player/_/id/4432193/earl-timberlake
Barry Evans,BRYANT,855,https://www.espn.com/mens-college-basketball/player/_/id/5105987/barry-evans
Connor Withers,BRYANT,951,https://www.espn.com/mens-college-basketball/player/_/id/4592914/connor-withers
Keyshawn Mitchell,BRYANT,567,https://www.espn.com/mens-college-basketball/player/_/id/5174851/keyshawn-mitchell
Kvonn Cramer,BRYANT,464,https://www.espn.com/mens-college-basketball/player/_/id/4592957/kvonn-cramer
Jakai Robinson,BRYANT,541,https://www.espn.com/mens-college-basketball/player/_/id/4683741/jakai-robinson
Devean Williams,BRYANT,16,https://www.espn.com/mens-college-basketball/player/_/id/5107177/devean-williams
Aaron Davis,BRYANT,117,https://www.espn.com/mens-college-basketball/player/_/id/5174850/aaron-davis
Kam Farris,BRYANT,246,https://www.espn.com/mens-college-basketball/player/_/id/4702996/kam-farris
Michael Amador,BRYANT,4,https://www.espn.com/mens-college-basketball/player/_/id/5239720/michael-amador
Josh Ozabor,BRYANT,66,https://www.espn.com/mens-college-basketball/player/_/id/4898366/josh-ozabor
Jayden Brown,BRYANT,18,https://www.espn.com/mens-college-basketball/player/_/id/5239717/jayden-brown
Frankie Vassalluzzo,BRYANT,17,https://www.espn.com/mens-college-basketball/player/_/id/5239716/frankie-vassalluzzo
