Player Name,Team,Minutes Played,Player Link
Noah Williamson,BUCKNELL,829,https://www.espn.com/mens-college-basketball/player/_/id/5105668/noah-williamson
Josh Bascoe,BUCKNELL,1026,https://www.espn.com/mens-college-basketball/player/_/id/4897913/josh-bascoe
Ian Motta,BUCKNELL,168,https://www.espn.com/mens-college-basketball/player/_/id/4897910/ian-motta
Ruot Bijiek,BUCKNELL,788,https://www.espn.com/mens-college-basketball/player/_/id/5105670/ruot-bijiek
Achile Spadone,BUCKNELL,887,https://www.espn.com/mens-college-basketball/player/_/id/5242555/achile-spadone
Elvin Edmonds IV,BUCKNELL,633,https://www.espn.com/mens-college-basketball/player/_/id/4897911/elvin-edmonds-iv
Brandon McCreesh,BUCKNELL,630,https://www.espn.com/mens-college-basketball/player/_/id/5176043/brandon-mccreesh
Pip Ajayi,BUCKNELL,352,https://www.espn.com/mens-college-basketball/player/_/id/5176044/pip-ajayi
Jayden Williams,BUCKNELL,410,https://www.espn.com/mens-college-basketball/player/_/id/5242553/jayden-williams
Josh Fulton,BUCKNELL,68,https://www.espn.com/mens-college-basketball/player/_/id/5105669/josh-fulton
Patrick O'Brien,BUCKNELL,10,https://www.espn.com/mens-college-basketball/player/_/id/5176042/patrick-obrien
Brady Muller,BUCKNELL,65,https://www.espn.com/mens-college-basketball/player/_/id/5105667/brady-muller
Kellen Welch,BUCKNELL,7,https://www.espn.com/mens-college-basketball/player/_/id/5243652/kellen-welch
