Player Name,Team,Minutes Played,Player Link
Ryan Sabol,BUFFALO,906,https://www.espn.com/mens-college-basketball/player/_/id/5177188/ryan-sabol
Tyson Dunn,BUFFALO,783,https://www.espn.com/mens-college-basketball/player/_/id/5243026/tyson-dunn
Ben Michaels,BUFFALO,572,https://www.espn.com/mens-college-basketball/player/_/id/5243028/ben-michaels
Anquan Boldin Jr.,BUFFALO,668,https://www.espn.com/mens-college-basketball/player/_/id/5177189/anquan-boldin-jr
Noah Batchelor,BUFFALO,762,https://www.espn.com/mens-college-basketball/player/_/id/5105803/noah-batchelor
Bryson Wilson,BUFFALO,424,https://www.espn.com/mens-college-basketball/player/_/id/4895759/bryson-wilson
Brayden Jackson,BUFFALO,203,https://www.espn.com/mens-college-basketball/player/_/id/5243027/brayden-jackson
Kavon Bradford,BUFFALO,260,https://www.espn.com/mens-college-basketball/player/_/id/5243033/kavon-bradford
Tim Oboh,BUFFALO,315,https://www.espn.com/mens-college-basketball/player/_/id/5243034/tim-oboh
Omar Migues-Hibeljic,BUFFALO,125,https://www.espn.com/mens-college-basketball/player/_/id/5243025/omar-migues-hibeljic
Frederiks Meinarts,BUFFALO,203,https://www.espn.com/mens-college-basketball/player/_/id/5243030/frederiks-meinarts
Lloyd McVeigh,BUFFALO,143,https://www.espn.com/mens-college-basketball/player/_/id/5177191/lloyd-mcveigh
Sam Akot,BUFFALO,36,https://www.espn.com/mens-college-basketball/player/_/id/5243031/sam-akot
