Player Name,Team,Minutes Played,Player Link
Jahmyl Telfort,BUTLER,946,https://www.espn.com/mens-college-basketball/player/_/id/4702785/jahmyl-telfort
Pierre Brooks II,BUTLER,904,https://www.espn.com/mens-college-basketball/player/_/id/4683731/pierre-brooks-ii
Patrick McCaffery,BUTLER,885,https://www.espn.com/mens-college-basketball/player/_/id/4432836/patrick-mccaffery
Finley Bizjack,BUTLER,686,https://www.espn.com/mens-college-basketball/player/_/id/4848619/finley-bizjack
Andre Screen,BUTLER,532,https://www.espn.com/mens-college-basketball/player/_/id/4702499/andre-screen
Kolby King,BUTLER,497,https://www.espn.com/mens-college-basketball/player/_/id/5105604/kolby-king
Augusto Cassia,BUTLER,151,https://www.espn.com/mens-college-basketball/player/_/id/5175354/augusto-cassia
Boden Kapke,BUTLER,298,https://www.espn.com/mens-college-basketball/player/_/id/5103631/boden-kapke
Landon Moore,BUTLER,460,https://www.espn.com/mens-college-basketball/player/_/id/5106612/landon-moore
Evan Haywood,BUTLER,65,https://www.espn.com/mens-college-basketball/player/_/id/5184903/evan-haywood
Ethan McComb,BUTLER,4,https://www.espn.com/mens-college-basketball/player/_/id/5175355/ethan-mccomb
