Player Name,Team,Minutes Played,Player Link
Owen Koonce,CAL POLY,859,https://www.espn.com/mens-college-basketball/player/_/id/4702381/owen-koonce
Jarred Hyder,CAL POLY,870,https://www.espn.com/mens-college-basketball/player/_/id/4593047/jarred-hyder
Isaac Jessup,CAL POLY,752,https://www.espn.com/mens-college-basketball/player/_/id/4702385/isaac-jessup
Peter Bandelj,CAL POLY,669,https://www.espn.com/mens-college-basketball/player/_/id/5242268/peter-bandelj
Mac Riniker,CAL POLY,717,https://www.espn.com/mens-college-basketball/player/_/id/5242265/mac-riniker
Cayden Ward,CAL POLY,232,https://www.espn.com/mens-college-basketball/player/_/id/5242269/cayden-ward
Kieran Elliott,CAL POLY,163,https://www.espn.com/mens-college-basketball/player/_/id/5242266/kieran-elliott
Guzman Vasilic,CAL POLY,459,https://www.espn.com/mens-college-basketball/player/_/id/5242267/guzman-vasilic
Aaron Price Jr.,CAL POLY,270,https://www.espn.com/mens-college-basketball/player/_/id/5107280/aaron-price-jr
Luka Tarlac,CAL POLY,320,https://www.espn.com/mens-college-basketball/player/_/id/5105648/luka-tarlac
Ethan Menzies,CAL POLY,251,https://www.espn.com/mens-college-basketball/player/_/id/5242271/ethan-menzies
Paul Bizimana,CAL POLY,57,https://www.espn.com/mens-college-basketball/player/_/id/4897265/paul-bizimana
Logan McLaughlin,CAL POLY,33,https://www.espn.com/mens-college-basketball/player/_/id/4703599/logan-mclaughlin
Isaac Spears,CAL POLY,11,https://www.espn.com/mens-college-basketball/player/_/id/4897925/isaac-spears
Hayden Jory,CAL POLY,38,https://www.espn.com/mens-college-basketball/player/_/id/4897662/hayden-jory
