Player Name,Team,Minutes Played,Player Link
Jemel Jones,CAL STATE BAKERSFIELD,760,https://www.espn.com/mens-college-basketball/player/_/id/5241846/jemel-jones
Corey Stephenson,CAL STATE BAKERSFIELD,733,https://www.espn.com/mens-college-basketball/player/_/id/5175759/corey-stephenson
Marvin McGhee III,CAL STATE BAKERSFIELD,863,https://www.espn.com/mens-college-basketball/player/_/id/5108718/marvin-mcghee-iii
CJ Hardy,CAL STATE BAKERSFIELD,692,https://www.espn.com/mens-college-basketball/player/_/id/5241841/cj-hardy
Fidelis Okereke,CAL STATE BAKERSFIELD,681,https://www.espn.com/mens-college-basketball/player/_/id/4702496/fidelis-okereke
Jaden Alexander,CAL STATE BAKERSFIELD,426,https://www.espn.com/mens-college-basketball/player/_/id/5108983/jaden-alexander
Marvin McGhee IV,CAL STATE BAKERSFIELD,459,https://www.espn.com/mens-college-basketball/player/_/id/5241843/marvin-mcghee-iv
Shakir Odunewu,CAL STATE BAKERSFIELD,239,https://www.espn.com/mens-college-basketball/player/_/id/4896933/shakir-odunewu
Kadar Waller,CAL STATE BAKERSFIELD,486,https://www.espn.com/mens-college-basketball/player/_/id/4899807/kadar-waller
Tom Mark,CAL STATE BAKERSFIELD,251,https://www.espn.com/mens-college-basketball/player/_/id/5175758/tom-mark
Cameron Clark,CAL STATE BAKERSFIELD,125,https://www.espn.com/mens-college-basketball/player/_/id/5241847/cameron-clark
Colin Darby,CAL STATE BAKERSFIELD,36,https://www.espn.com/mens-college-basketball/player/_/id/5241845/colin-darby
Gloire Goma,CAL STATE BAKERSFIELD,73,https://www.espn.com/mens-college-basketball/player/_/id/5241848/gloire-goma
