Player Name,Team,Minutes Played,Player Link
Marcus Adams Jr.,CAL STATE NORTHRIDGE,775,https://www.espn.com/mens-college-basketball/player/_/id/5142326/marcus-adams-jr
Scotty Washington,CAL STATE NORTHRIDGE,769,https://www.espn.com/mens-college-basketball/player/_/id/4896852/scotty-washington
Keonte Jones,CAL STATE NORTHRIDGE,821,https://www.espn.com/mens-college-basketball/player/_/id/5175785/keonte-jones
PJ Fuller II,CAL STATE NORTHRIDGE,614,https://www.espn.com/mens-college-basketball/player/_/id/4431717/pj-fuller-ii
Mahmoud Fofana,CAL STATE NORTHRIDGE,712,https://www.espn.com/mens-college-basketball/player/_/id/5175787/mahmoud-fofana
Grady Lewis,CAL STATE NORTHRIDGE,356,https://www.espn.com/mens-college-basketball/player/_/id/5117707/grady-lewis
Tyler Beard,CAL STATE NORTHRIDGE,530,https://www.espn.com/mens-college-basketball/player/_/id/4433195/tyler-beard
Jordan Brinson,CAL STATE NORTHRIDGE,348,https://www.espn.com/mens-college-basketball/player/_/id/4432899/jordan-brinson
Judson Martindale,CAL STATE NORTHRIDGE,189,https://www.espn.com/mens-college-basketball/player/_/id/4702512/judson-martindale
Festus Ndumanya,CAL STATE NORTHRIDGE,132,https://www.espn.com/mens-college-basketball/player/_/id/4592928/festus-ndumanya
Jalen Barbee,CAL STATE NORTHRIDGE,113,https://www.espn.com/mens-college-basketball/player/_/id/5241877/jalen-barbee
Sabien Cain,CAL STATE NORTHRIDGE,36,https://www.espn.com/mens-college-basketball/player/_/id/5241879/sabien-cain
Robert Thibiant,CAL STATE NORTHRIDGE,23,https://www.espn.com/mens-college-basketball/player/_/id/5241880/robert-thibiant
Joseph Barrio,CAL STATE NORTHRIDGE,6,https://www.espn.com/mens-college-basketball/player/_/id/5241876/joseph-barrio
