Player Name,Team,Minutes Played,Player Link
Andrej Stojakovic,CALIFORNIA,746,https://www.espn.com/mens-college-basketball/player/_/id/5175007/andrej-stojakovic
Jeremiah Wilkinson,CALIFORNIA,685,https://www.espn.com/mens-college-basketball/player/_/id/5165276/jeremiah-wilkinson
BJ Omot,CALIFORNIA,106,https://www.espn.com/mens-college-basketball/player/_/id/5107285/bj-omot
Jovan Blacksher Jr.,CALIFORNIA,689,https://www.espn.com/mens-college-basketball/player/_/id/4431826/jovan-blacksher-jr
Rytis Petraitis,CALIFORNIA,710,https://www.espn.com/mens-college-basketball/player/_/id/5113388/rytis-petraitis
DJ Campbell,CALIFORNIA,527,https://www.espn.com/mens-college-basketball/player/_/id/5107343/dj-campbell
Joshua Ola-Joseph,CALIFORNIA,423,https://www.espn.com/mens-college-basketball/player/_/id/5105822/joshua-ola-joseph
Mady Sissoko,CALIFORNIA,670,https://www.espn.com/mens-college-basketball/player/_/id/4433154/mady-sissoko
Lee Dort,CALIFORNIA,394,https://www.espn.com/mens-college-basketball/player/_/id/4683672/lee-dort
Spencer Mahoney,CALIFORNIA,144,https://www.espn.com/mens-college-basketball/player/_/id/5060690/spencer-mahoney
Christian Tucker,CALIFORNIA,319,https://www.espn.com/mens-college-basketball/player/_/id/4897692/christian-tucker
Devin Curtis,CALIFORNIA,18,https://www.espn.com/mens-college-basketball/player/_/id/5060698/devin-curtis
Jack McCloskey,CALIFORNIA,6,https://www.espn.com/mens-college-basketball/player/_/id/5105586/jack-mccloskey
Vladimir Pavlovic,CALIFORNIA,3,https://www.espn.com/mens-college-basketball/player/_/id/5175024/vladimir-pavlovic
Jayden Karapetian,CALIFORNIA,3,https://www.espn.com/mens-college-basketball/player/_/id/5181264/jayden-karapetian
Matt Desler,CALIFORNIA,4,https://www.espn.com/mens-college-basketball/player/_/id/5181265/matt-desler
