Player Name,Team,Minutes Played,Player Link
Colby Duggan,CAMPBELL,793,https://www.espn.com/mens-college-basketball/player/_/id/5174947/colby-duggan
Jasin Sinani,CAMPBELL,764,https://www.espn.com/mens-college-basketball/player/_/id/5108138/jasin-sinani
Nolan Dorsey,CAMPBELL,926,https://www.espn.com/mens-college-basketball/player/_/id/4703253/nolan-dorsey
Caleb Zurliene,CAMPBELL,615,https://www.espn.com/mens-college-basketball/player/_/id/4708340/caleb-zurliene
Cam Gregory,CAMPBELL,849,https://www.espn.com/mens-college-basketball/player/_/id/5106610/cam-gregory
Terren Frank,CAMPBELL,332,https://www.espn.com/mens-college-basketball/player/_/id/4433146/terren-frank
Bragi Gudmundsson,CAMPBELL,188,https://www.espn.com/mens-college-basketball/player/_/id/5174802/bragi-gudmundsson
Tasos Cook,CAMPBELL,516,https://www.espn.com/mens-college-basketball/player/_/id/4897617/tasos-cook
Elijah Walsh,CAMPBELL,199,https://www.espn.com/mens-college-basketball/player/_/id/5108135/elijah-walsh
Eric Van Der Heijden,CAMPBELL,390,https://www.espn.com/mens-college-basketball/player/_/id/4684159/eric-van-der-heijden
Israel Yaw,CAMPBELL,85,https://www.espn.com/mens-college-basketball/player/_/id/5178894/israel-yaw
Omar Harris,CAMPBELL,65,https://www.espn.com/mens-college-basketball/player/_/id/5108136/omar-harris
Wesley Johnson,CAMPBELL,12,https://www.espn.com/mens-college-basketball/player/_/id/5108140/wesley-johnson
Broc Bidwell,CAMPBELL,15,https://www.espn.com/mens-college-basketball/player/_/id/4782965/broc-bidwell
Gediminas Mokseckas,CAMPBELL,75,https://www.espn.com/mens-college-basketball/player/_/id/4702004/gediminas-mokseckas
