Player Name,Team,Minutes Played,Player Link
Paul McMillan IV,CANISIUS,939,https://www.espn.com/mens-college-basketball/player/_/id/5106659/paul-mcmillan-iv
Tana Kopa,CANISIUS,907,https://www.espn.com/mens-college-basketball/player/_/id/4900686/tana-kopa
Jasman Sangha,CANISIUS,498,https://www.espn.com/mens-college-basketball/player/_/id/4897297/jasman-sangha
Dylan Godfrey,CANISIUS,579,https://www.espn.com/mens-college-basketball/player/_/id/5241460/dylan-godfrey
Cam Palesse,CANISIUS,705,https://www.espn.com/mens-college-basketball/player/_/id/4897484/cam-palesse
Anthony Benard,CANISIUS,756,https://www.espn.com/mens-college-basketball/player/_/id/5176146/anthony-benard
Gianni Thompson,CANISIUS,288,https://www.espn.com/mens-college-basketball/player/_/id/5106036/gianni-thompson
Evan van der Plas,CANISIUS,376,https://www.espn.com/mens-college-basketball/player/_/id/5241462/evan-van-der-plas
Tyson Oghene,CANISIUS,36,https://www.espn.com/mens-college-basketball/player/_/id/5241463/tyson-oghene
William Scott Jr.,CANISIUS,90,https://www.espn.com/mens-college-basketball/player/_/id/5241459/william-scott-jr
Nicco DiGiulio,CANISIUS,10,https://www.espn.com/mens-college-basketball/player/_/id/5177093/nicco-digiulio
Maji David-Maji,CANISIUS,16,https://www.espn.com/mens-college-basketball/player/_/id/5177092/maji-david-maji
Trevor Augustine,CANISIUS,1,https://www.espn.com/mens-college-basketball/player/_/id/5265865/trevor-augustine
