Player Name,Team,Minutes Played,Player Link
Layne Taylor,CENTRAL ARKANSAS,710,https://www.espn.com/mens-college-basketball/player/_/id/5239783/layne-taylor
Elias Cato,CENTRAL ARKANSAS,717,https://www.espn.com/mens-college-basketball/player/_/id/4897019/elias-cato
Brayden Fagbemi,CENTRAL ARKANSAS,871,https://www.espn.com/mens-college-basketball/player/_/id/5239775/brayden-fagbemi
Cole McCormick,CENTRAL ARKANSAS,640,https://www.espn.com/mens-college-basketball/player/_/id/5239782/cole-mccormick
Michael Evbagharu,CENTRAL ARKANSAS,748,https://www.espn.com/mens-college-basketball/player/_/id/5177167/michael-evbagharu
Nehemiah Turner,CENTRAL ARKANSAS,476,https://www.espn.com/mens-college-basketball/player/_/id/5239776/nehemiah-turner
Ben Fox,CENTRAL ARKANSAS,622,https://www.espn.com/mens-college-basketball/player/_/id/5175861/ben-fox
Diogo Seixas,CENTRAL ARKANSAS,487,https://www.espn.com/mens-college-basketball/player/_/id/5176256/diogo-seixas
Ty Robinson,CENTRAL ARKANSAS,32,https://www.espn.com/mens-college-basketball/player/_/id/5239780/ty-robinson
Ubongabasi Etim,CENTRAL ARKANSAS,268,https://www.espn.com/mens-college-basketball/player/_/id/5108048/ubongabasi-etim
Jabari West Jr.,CENTRAL ARKANSAS,58,https://www.espn.com/mens-college-basketball/player/_/id/5239774/jabari-west-jr
J.D. Roberts,CENTRAL ARKANSAS,12,https://www.espn.com/mens-college-basketball/player/_/id/5175859/jd-roberts
Owen Derhmann,CENTRAL ARKANSAS,134,https://www.espn.com/mens-college-basketball/player/_/id/5239778/owen-derhmann
Ethan Thomas,CENTRAL ARKANSAS,139,https://www.espn.com/mens-college-basketball/player/_/id/5239781/ethan-thomas
Connor Mancell,CENTRAL ARKANSAS,35,https://www.espn.com/mens-college-basketball/player/_/id/5239779/connor-mancell
