Player Name,Team,Minutes Played,Player Link
Jordan Jones,CENTRAL CONNECTICUT,784,https://www.espn.com/mens-college-basketball/player/_/id/5177231/jordan-jones
Devin Haid,CENTRAL CONNECTICUT,729,https://www.espn.com/mens-college-basketball/player/_/id/5241694/devin-haid
Jayden Brown,CENTRAL CONNECTICUT,741,https://www.espn.com/mens-college-basketball/player/_/id/4896536/jayden-brown
Abdul Momoh,CENTRAL CONNECTICUT,649,https://www.espn.com/mens-college-basketball/player/_/id/4896534/abdul-momoh
Darin Smith Jr.,CENTRAL CONNECTICUT,452,https://www.espn.com/mens-college-basketball/player/_/id/5177229/darin-smith-jr
Davonte Sweatman,CENTRAL CONNECTICUT,626,https://www.espn.com/mens-college-basketball/player/_/id/4896531/davonte-sweatman
Joe Ostrowsky,CENTRAL CONNECTICUT,741,https://www.espn.com/mens-college-basketball/player/_/id/4896530/joe-ostrowsky
Jaelen McGlone,CENTRAL CONNECTICUT,122,https://www.espn.com/mens-college-basketball/player/_/id/5241696/jaelen-mcglone
Max Frazier,CENTRAL CONNECTICUT,249,https://www.espn.com/mens-college-basketball/player/_/id/5177169/max-frazier
Brody Limric,CENTRAL CONNECTICUT,44,https://www.espn.com/mens-college-basketball/player/_/id/4898239/brody-limric
James Jones,CENTRAL CONNECTICUT,264,https://www.espn.com/mens-college-basketball/player/_/id/5241698/james-jones
