Player Name,Team,Minutes Played,Player Link
Ugnius Jarusevicius,CENTRAL MICHIGAN,579,https://www.espn.com/mens-college-basketball/player/_/id/5108721/ugnius-jarusevicius
Jakobi Heady,CENTRAL MICHIGAN,958,https://www.espn.com/mens-college-basketball/player/_/id/5178199/jakobi-heady
Anthony Pritchard,CENTRAL MICHIGAN,929,https://www.espn.com/mens-college-basketball/player/_/id/4897155/anthony-pritchard
Kyler Vanderjagt,CENTRAL MICHIGAN,733,https://www.espn.com/mens-college-basketball/player/_/id/5107969/kyler-vanderjagt
Cayden Vasko,CENTRAL MICHIGAN,846,https://www.espn.com/mens-college-basketball/player/_/id/5176177/cayden-vasko
Damarion Bonds,CENTRAL MICHIGAN,388,https://www.espn.com/mens-college-basketball/player/_/id/5114198/damarion-bonds
Bryan Ndjonga,CENTRAL MICHIGAN,537,https://www.espn.com/mens-college-basketball/player/_/id/5175788/bryan-ndjonga
Quentin Heady,CENTRAL MICHIGAN,215,https://www.espn.com/mens-college-basketball/player/_/id/5242938/quentin-heady
Hunter Harding,CENTRAL MICHIGAN,70,https://www.espn.com/mens-college-basketball/player/_/id/5176181/hunter-harding
Shaedon Simpson,CENTRAL MICHIGAN,86,https://www.espn.com/mens-college-basketball/player/_/id/5176179/shaedon-simpson
Decorion Temple,CENTRAL MICHIGAN,6,https://www.espn.com/mens-college-basketball/player/_/id/5264030/decorion-temple
Drew Barbee,CENTRAL MICHIGAN,45,https://www.espn.com/mens-college-basketball/player/_/id/5176183/drew-barbee
Mohammad Habhab,CENTRAL MICHIGAN,2,https://www.espn.com/mens-college-basketball/player/_/id/5242937/mohammad-habhab
Gus Salem,CENTRAL MICHIGAN,4,https://www.espn.com/mens-college-basketball/player/_/id/5242941/gus-salem
