Player Name,Team,Minutes Played,Player Link
Taje' Kelly,CHARLESTON SOUTHERN,1056,https://www.espn.com/mens-college-basketball/player/_/id/4896986/taje-kelly
Daylen Berry,CHARLESTON SOUTHERN,1089,https://www.espn.com/mens-college-basketball/player/_/id/4897458/daylen-berry
RJ Johnson,CHARLESTON SOUTHERN,991,https://www.espn.com/mens-college-basketball/player/_/id/5108122/rj-johnson
DJ Patrick,CHARLESTON SOUTHERN,95,https://www.espn.com/mens-college-basketball/player/_/id/4897129/dj-patrick
Lamar Oden Jr.,CHARLESTON SOUTHERN,940,https://www.espn.com/mens-college-basketball/player/_/id/4585866/lamar-oden-jr
Jaylon Gibson,CHARLESTON SOUTHERN,193,https://www.espn.com/mens-college-basketball/player/_/id/4576139/jaylon-gibson
Keenan Wilkins,CHARLESTON SOUTHERN,332,https://www.espn.com/mens-college-basketball/player/_/id/5240412/keenan-wilkins
Reis Jones,CHARLESTON SOUTHERN,620,https://www.espn.com/mens-college-basketball/player/_/id/5107670/reis-jones
Anthony Gause,CHARLESTON SOUTHERN,172,https://www.espn.com/mens-college-basketball/player/_/id/5240411/anthony-gause
Thompson Camara,CHARLESTON SOUTHERN,288,https://www.espn.com/mens-college-basketball/player/_/id/5240414/thompson-camara
Derrick Harris Jr.,CHARLESTON SOUTHERN,48,https://www.espn.com/mens-college-basketball/player/_/id/5107227/derrick-harris-jr
Lase Olalere,CHARLESTON SOUTHERN,250,https://www.espn.com/mens-college-basketball/player/_/id/5175655/lase-olalere
