Player Name,Team,Minutes Played,Player Link
Ante Brzovic,CHARLESTON,940,https://www.espn.com/mens-college-basketball/player/_/id/5105761/ante-brzovic
Deywilk Tavarez,CHARLESTON,643,https://www.espn.com/mens-college-basketball/player/_/id/5176275/deywilk-tavarez
Derrin Boyd,CHARLESTON,843,https://www.espn.com/mens-college-basketball/player/_/id/4901927/derrin-boyd
AJ Smith,CHARLESTON,667,https://www.espn.com/mens-college-basketball/player/_/id/5107357/aj-smith
Lazar Djokovic,CHARLESTON,588,https://www.espn.com/mens-college-basketball/player/_/id/5175368/lazar-djokovic
CJ Fulton,CHARLESTON,937,https://www.espn.com/mens-college-basketball/player/_/id/4897901/cj-fulton
Jaxon Prunty,CHARLESTON,110,https://www.espn.com/mens-college-basketball/player/_/id/5060731/jaxon-prunty
Justas Stonkus,CHARLESTON,478,https://www.espn.com/mens-college-basketball/player/_/id/5239612/justas-stonkus
Djordje Curcic,CHARLESTON,215,https://www.espn.com/mens-college-basketball/player/_/id/5174638/djordje-curcic
Elijah Jones,CHARLESTON,333,https://www.espn.com/mens-college-basketball/player/_/id/5176811/elijah-jones
Evan Kilminster,CHARLESTON,60,https://www.espn.com/mens-college-basketball/player/_/id/5105759/evan-kilminster
Adam Comer,CHARLESTON,41,https://www.espn.com/mens-college-basketball/player/_/id/4897002/adam-comer
Jack Miller,CHARLESTON,11,https://www.espn.com/mens-college-basketball/player/_/id/4896998/jack-miller
Cade Higgins,CHARLESTON,4,https://www.espn.com/mens-college-basketball/player/_/id/5239613/cade-higgins
Joey Scarpitti,CHARLESTON,6,https://www.espn.com/mens-college-basketball/player/_/id/5239614/joey-scarpitti
