Player Name,Team,Minutes Played,Player Link
Nik Graves,CHARLOTTE,927,https://www.espn.com/mens-college-basketball/player/_/id/5106863/nik-graves
Giancarlo Rosado,CHARLOTTE,658,https://www.espn.com/mens-college-basketball/player/_/id/4585611/giancarlo-rosado
Robert Braswell IV,CHARLOTTE,660,https://www.espn.com/mens-college-basketball/player/_/id/4395675/robert-braswell-iv
Jaehshon Thomas,CHARLOTTE,745,https://www.espn.com/mens-college-basketball/player/_/id/5239829/jaehshon-thomas
Kylan Blackmon,CHARLOTTE,673,https://www.espn.com/mens-college-basketball/player/_/id/5107233/kylan-blackmon
Nika Metskhvarishvili,CHARLOTTE,342,https://www.espn.com/mens-college-basketball/player/_/id/4897141/nika-metskhvarishvili
Rich Rolf,CHARLOTTE,480,https://www.espn.com/mens-college-basketball/player/_/id/5106862/rich-rolf
Dean Reiber,CHARLOTTE,362,https://www.espn.com/mens-college-basketball/player/_/id/4581507/dean-reiber
Isaiah Folkes,CHARLOTTE,348,https://www.espn.com/mens-college-basketball/player/_/id/4712255/isaiah-folkes
Ben Bradford,CHARLOTTE,168,https://www.espn.com/mens-college-basketball/player/_/id/5239828/ben-bradford
Nick Richart,CHARLOTTE,59,https://www.espn.com/mens-college-basketball/player/_/id/5175050/nick-richart
Aleks Szymczyk,CHARLOTTE,87,https://www.espn.com/mens-college-basketball/player/_/id/5105528/aleks-szymczyk
Andrew Bailey,CHARLOTTE,6,https://www.espn.com/mens-college-basketball/player/_/id/5175048/andrew-bailey
Tyler Fearne,CHARLOTTE,10,https://www.espn.com/mens-college-basketball/player/_/id/4897459/tyler-fearne
