Player Name,Team,Minutes Played,Player Link
Jalen Forrest,CHICAGO STATE,861,https://www.espn.com/mens-college-basketball/player/_/id/5107520/jalen-forrest
Noble Crawford,CHICAGO STATE,692,https://www.espn.com/mens-college-basketball/player/_/id/4703207/noble-crawford
Gabe Spinelli,CHICAGO STATE,802,https://www.espn.com/mens-college-basketball/player/_/id/5108787/gabe-spinelli
Quincy Allen,CHICAGO STATE,368,https://www.espn.com/mens-college-basketball/player/_/id/4433257/quincy-allen
Troy McKoy Jr.,CHICAGO STATE,469,https://www.espn.com/mens-college-basketball/player/_/id/5241707/troy-mckoy-jr
Saxby Sunderland,CHICAGO STATE,590,https://www.espn.com/mens-college-basketball/player/_/id/5106049/saxby-sunderland
Matthew Robinson,CHICAGO STATE,838,https://www.espn.com/mens-college-basketball/player/_/id/5112819/matthew-robinson
Cameron Jernigan,CHICAGO STATE,281,https://www.espn.com/mens-college-basketball/player/_/id/4896956/cameron-jernigan
Dailliss Cox,CHICAGO STATE,313,https://www.espn.com/mens-college-basketball/player/_/id/5241708/dailliss-cox
Greg Spate,CHICAGO STATE,105,https://www.espn.com/mens-college-basketball/player/_/id/5177728/greg-spate
CJ Delancy,CHICAGO STATE,338,https://www.espn.com/mens-college-basketball/player/_/id/5106594/cj-delancy
Joe Spinelli,CHICAGO STATE,68,https://www.espn.com/mens-college-basketball/player/_/id/5107324/joe-spinelli
Michael Brown,CHICAGO STATE,65,https://www.espn.com/mens-college-basketball/player/_/id/5247968/michael-brown
Alex Raiford,CHICAGO STATE,35,https://www.espn.com/mens-college-basketball/player/_/id/5182411/alex-raiford
