Player Name,Team,Minutes Played,Player Link
Jizzle James,CINCINNATI,698,https://www.espn.com/mens-college-basketball/player/_/id/5175033/jizzle-james
Simas Lukosius,CINCINNATI,694,https://www.espn.com/mens-college-basketball/player/_/id/4897411/simas-lukosius
Dillon Mitchell,CINCINNATI,756,https://www.espn.com/mens-college-basketball/player/_/id/5106283/dillon-mitchell
Dan Skillings Jr.,CINCINNATI,490,https://www.espn.com/mens-college-basketball/player/_/id/5105811/dan-skillings-jr
Day Day Thomas,CINCINNATI,587,https://www.espn.com/mens-college-basketball/player/_/id/5175032/day-day-thomas
Aziz Bandaogo,CINCINNATI,688,https://www.espn.com/mens-college-basketball/player/_/id/4703576/aziz-bandaogo
Connor Hickman,CINCINNATI,258,https://www.espn.com/mens-college-basketball/player/_/id/4897447/connor-hickman
Tyler Betsey,CINCINNATI,341,https://www.espn.com/mens-college-basketball/player/_/id/4873141/tyler-betsey
Arrinten Page,CINCINNATI,271,https://www.espn.com/mens-college-basketball/player/_/id/5060696/arrinten-page
Josh Reed,CINCINNATI,354,https://www.espn.com/mens-college-basketball/player/_/id/4838723/josh-reed
Rayvon Griffith,CINCINNATI,75,https://www.espn.com/mens-college-basketball/player/_/id/4683765/rayvon-griffith
CJ Fredrick Jr.,CINCINNATI,175,https://www.espn.com/mens-college-basketball/player/_/id/4397032/cj-fredrick-jr
Halvine Dzellat,CINCINNATI,14,https://www.espn.com/mens-college-basketball/player/_/id/5240256/halvine-dzellat
