Player Name,Team,Minutes Played,Player Link
Tevin Smith,CLEVELAND STATE,825,https://www.espn.com/mens-college-basketball/player/_/id/4897287/tevin-smith
Tahj Staveskie,CLEVELAND STATE,874,https://www.espn.com/mens-college-basketball/player/_/id/4896368/tahj-staveskie
Dylan Arnett,CLEVELAND STATE,784,https://www.espn.com/mens-college-basketball/player/_/id/5106742/dylan-arnett
Je'Shawn Stevenson,CLEVELAND STATE,529,https://www.espn.com/mens-college-basketball/player/_/id/5241608/jeshawn-stevenson
Chase Robinson,CLEVELAND STATE,675,https://www.espn.com/mens-college-basketball/player/_/id/4604751/chase-robinson
Jalin Rice,CLEVELAND STATE,13,https://www.espn.com/mens-college-basketball/player/_/id/5177699/jalin-rice
Reece Robinson,CLEVELAND STATE,391,https://www.espn.com/mens-college-basketball/player/_/id/5241610/reece-robinson
Cole Franklin,CLEVELAND STATE,278,https://www.espn.com/mens-college-basketball/player/_/id/5241611/cole-franklin
Chaz Watson,CLEVELAND STATE,60,https://www.espn.com/mens-college-basketball/player/_/id/5241609/chaz-watson
Ebrima Dibba,CLEVELAND STATE,675,https://www.espn.com/mens-college-basketball/player/_/id/4397504/ebrima-dibba
KJ Debrick,CLEVELAND STATE,251,https://www.espn.com/mens-college-basketball/player/_/id/5177701/kj-debrick
Isaac Abidde,CLEVELAND STATE,196,https://www.espn.com/mens-college-basketball/player/_/id/4897200/isaac-abidde
Danny Young,CLEVELAND STATE,47,https://www.espn.com/mens-college-basketball/player/_/id/5177700/danny-young
