Player Name,Team,Minutes Played,Player Link
Jordan Battle,COASTAL CAROLINA,855,https://www.espn.com/mens-college-basketball/player/_/id/4896969/jordan-battle
RaSheed Jones,COASTAL CAROLINA,882,https://www.espn.com/mens-college-basketball/player/_/id/5107346/rasheed-jones
Noah Amenhauser,COASTAL CAROLINA,605,https://www.espn.com/mens-college-basketball/player/_/id/4895790/noah-amenhauser
Joshua Meo,COASTAL CAROLINA,920,https://www.espn.com/mens-college-basketball/player/_/id/5239866/joshua-meo
Denzel Hines,COASTAL CAROLINA,687,https://www.espn.com/mens-college-basketball/player/_/id/5175663/denzel-hines
Colin Granger,COASTAL CAROLINA,468,https://www.espn.com/mens-college-basketball/player/_/id/4585598/colin-granger
Andre Mulibea,COASTAL CAROLINA,303,https://www.espn.com/mens-college-basketball/player/_/id/4701246/andre-mulibea
Henry Abraham,COASTAL CAROLINA,420,https://www.espn.com/mens-college-basketball/player/_/id/4703231/henry-abraham
Naz Brown,COASTAL CAROLINA,429,https://www.espn.com/mens-college-basketball/player/_/id/5106273/naz-brown
Charles Dunlap,COASTAL CAROLINA,11,https://www.espn.com/mens-college-basketball/player/_/id/5239868/charles-dunlap
Mabor Majak,COASTAL CAROLINA,222,https://www.espn.com/mens-college-basketball/player/_/id/4433216/mabor-majak
Connor Martin,COASTAL CAROLINA,9,https://www.espn.com/mens-college-basketball/player/_/id/5118041/connor-martin
DA Houston,COASTAL CAROLINA,12,https://www.espn.com/mens-college-basketball/player/_/id/4585602/da-houston
