Player Name,Team,Minutes Played,Player Link
Jeff Woodward,COLGATE,560,https://www.espn.com/mens-college-basketball/player/_/id/4702503/jeff-woodward
Nicolas Louis-Jacques,COLGATE,809,https://www.espn.com/mens-college-basketball/player/_/id/4897909/nicolas-louis-jacques
Jalen Cox,COLGATE,737,https://www.espn.com/mens-college-basketball/player/_/id/5176046/jalen-cox
Brady Cummins,COLGATE,697,https://www.espn.com/mens-college-basketball/player/_/id/5105671/brady-cummins
Parker Jones,COLGATE,781,https://www.espn.com/mens-college-basketball/player/_/id/5176048/parker-jones
Chandler Baker,COLGATE,536,https://www.espn.com/mens-college-basketball/player/_/id/4707015/chandler-baker
Sam Wright,COLGATE,407,https://www.espn.com/mens-college-basketball/player/_/id/5176049/sam-wright
Kyle Carlesimo,COLGATE,385,https://www.espn.com/mens-college-basketball/player/_/id/5107704/kyle-carlesimo
Julian Scott,COLGATE,242,https://www.espn.com/mens-college-basketball/player/_/id/5176045/julian-scott
Blake Forrest,COLGATE,187,https://www.espn.com/mens-college-basketball/player/_/id/5242778/blake-forrest
Cameron Brennan,COLGATE,125,https://www.espn.com/mens-college-basketball/player/_/id/5242777/cameron-brennan
Josh Ahayere,COLGATE,106,https://www.espn.com/mens-college-basketball/player/_/id/5242775/josh-ahayere
Stevie Clark,COLGATE,31,https://www.espn.com/mens-college-basketball/player/_/id/5242776/stevie-clark
Cooper Wright,COLGATE,47,https://www.espn.com/mens-college-basketball/player/_/id/5176047/cooper-wright
