Player Name,Team,Minutes Played,Player Link
Nique Clifford,COLORADO STATE,952,https://www.espn.com/mens-college-basketball/player/_/id/4702384/nique-clifford
Jalen Lake,COLORADO STATE,832,https://www.espn.com/mens-college-basketball/player/_/id/4897514/jalen-lake
Kyan Evans,COLORADO STATE,730,https://www.espn.com/mens-college-basketball/player/_/id/5093253/kyan-evans
Jaylen Crocker-Johnson,COLORADO STATE,562,https://www.espn.com/mens-college-basketball/player/_/id/4894462/jaylen-crocker-johnson
Rashaan Mbemba,COLORADO STATE,445,https://www.espn.com/mens-college-basketball/player/_/id/5176196/rashaan-mbemba
Keshawn Williams,COLORADO STATE,405,https://www.espn.com/mens-college-basketball/player/_/id/4602029/keshawn-williams
Kyle Jorgensen,COLORADO STATE,386,https://www.espn.com/mens-college-basketball/player/_/id/5241234/kyle-jorgensen
Bowen Born,COLORADO STATE,424,https://www.espn.com/mens-college-basketball/player/_/id/4703913/bowen-born
Ethan Morton,COLORADO STATE,638,https://www.espn.com/mens-college-basketball/player/_/id/4433151/ethan-morton
Nikola Djapa,COLORADO STATE,79,https://www.espn.com/mens-college-basketball/player/_/id/5177264/nikola-djapa
Jaden Steppe,COLORADO STATE,8,https://www.espn.com/mens-college-basketball/player/_/id/5061605/jaden-steppe
Luke Murphy,COLORADO STATE,10,https://www.espn.com/mens-college-basketball/player/_/id/5107565/luke-murphy
