Player Name,Team,Minutes Played,Player Link
Julian Hammond III,COLORADO,785,https://www.espn.com/mens-college-basketball/player/_/id/4692907/julian-hammond-iii
Andrej Jakimovski,COLORADO,743,https://www.espn.com/mens-college-basketball/player/_/id/4702466/andrej-jakimovski
Bangot Dak,COLORADO,527,https://www.espn.com/mens-college-basketball/player/_/id/5175021/bangot-dak
Elijah Malone,COLORADO,461,https://www.espn.com/mens-college-basketball/player/_/id/5115357/elijah-malone
Trevor Baskin,COLORADO,538,https://www.espn.com/mens-college-basketball/player/_/id/5240257/trevor-baskin
Sebastian Rancik,COLORADO,460,https://www.espn.com/mens-college-basketball/player/_/id/5144392/sebastian-rancik
Javon Ruffin,COLORADO,521,https://www.espn.com/mens-college-basketball/player/_/id/4693725/javon-ruffin
RJ Smith,COLORADO,545,https://www.espn.com/mens-college-basketball/player/_/id/5105612/rj-smith
Assane Diop,COLORADO,431,https://www.espn.com/mens-college-basketball/player/_/id/4711295/assane-diop
Harrison Carrington,COLORADO,244,https://www.espn.com/mens-college-basketball/player/_/id/5105615/harrison-carrington
Nick Randall,COLORADO,2,https://www.espn.com/mens-college-basketball/player/_/id/5240258/nick-randall
Felix Kossaras,COLORADO,166,https://www.espn.com/mens-college-basketball/player/_/id/5214643/felix-kossaras
Courtney Anderson Jr.,COLORADO,15,https://www.espn.com/mens-college-basketball/player/_/id/4685648/courtney-anderson-jr
Jack Pease,COLORADO,4,https://www.espn.com/mens-college-basketball/player/_/id/4898115/jack-pease
Greg Gerhardt,COLORADO,3,https://www.espn.com/mens-college-basketball/player/_/id/5105614/greg-gerhardt
Grady Whitt,COLORADO,3,https://www.espn.com/mens-college-basketball/player/_/id/5175023/grady-whitt
