Player Name,Team,Minutes Played,Player Link
Geronimo Rubio De La Rosa,COLUMBIA,533,https://www.espn.com/mens-college-basketball/player/_/id/4898213/geronimo-rubio-de-la-rosa
Kenny Noland,COLUMBIA,762,https://www.espn.com/mens-college-basketball/player/_/id/5106236/kenny-noland
Avery Brown,COLUMBIA,653,https://www.espn.com/mens-college-basketball/player/_/id/5106235/avery-brown
Blair Thompson,COLUMBIA,557,https://www.espn.com/mens-college-basketball/player/_/id/5106237/blair-thompson
Zine Eddine Bedri,COLUMBIA,382,https://www.espn.com/mens-college-basketball/player/_/id/5113287/zine-eddine-bedri
Gerard O'Keefe,COLUMBIA,285,https://www.espn.com/mens-college-basketball/player/_/id/5241712/gerard-okeefe
Noah Robledo,COLUMBIA,260,https://www.espn.com/mens-college-basketball/player/_/id/4683745/noah-robledo
Gianni Cobb,COLUMBIA,251,https://www.espn.com/mens-college-basketball/player/_/id/5241714/gianni-cobb
Jaden Cooper,COLUMBIA,36,https://www.espn.com/mens-college-basketball/player/_/id/4898212/jaden-cooper
Mason Ritter,COLUMBIA,280,https://www.espn.com/mens-college-basketball/player/_/id/5241715/mason-ritter
Josiah Cunningham,COLUMBIA,202,https://www.espn.com/mens-college-basketball/player/_/id/5060729/josiah-cunningham
Richard Nweke,COLUMBIA,28,https://www.espn.com/mens-college-basketball/player/_/id/5175887/richard-nweke
Nicolo Romanelli,COLUMBIA,122,https://www.espn.com/mens-college-basketball/player/_/id/5175886/nicolo-romanelli
Jake Tavroff,COLUMBIA,260,https://www.espn.com/mens-college-basketball/player/_/id/4898215/jake-tavroff
Arop Arop,COLUMBIA,37,https://www.espn.com/mens-college-basketball/player/_/id/5175888/arop-arop
Robbie Stankard,COLUMBIA,80,https://www.espn.com/mens-college-basketball/player/_/id/4898214/robbie-stankard
Nigel Clarkson,COLUMBIA,71,https://www.espn.com/mens-college-basketball/player/_/id/5241713/nigel-clarkson
