Player Name,Team,Minutes Played,Player Link
Derrius Ward,COPPIN STATE,179,https://www.espn.com/mens-college-basketball/player/_/id/4700968/derrius-ward
Toby Nnadozie,COPPIN STATE,789,https://www.espn.com/mens-college-basketball/player/_/id/5108777/toby-nnadozie
Jonathan Dunn,COPPIN STATE,567,https://www.espn.com/mens-college-basketball/player/_/id/5107900/jonathan-dunn
Julius Ellerbe III,COPPIN STATE,584,https://www.espn.com/mens-college-basketball/player/_/id/5176189/julius-ellerbe-iii
Peter Oduro,COPPIN STATE,695,https://www.espn.com/mens-college-basketball/player/_/id/5105896/peter-oduro
Khali Horton,COPPIN STATE,568,https://www.espn.com/mens-college-basketball/player/_/id/5176265/khali-horton
Ryan Archey,COPPIN STATE,59,https://www.espn.com/mens-college-basketball/player/_/id/5176266/ryan-archey
Camaren Sparrow,COPPIN STATE,498,https://www.espn.com/mens-college-basketball/player/_/id/5176269/camaren-sparrow
Cam'Ron Brown,COPPIN STATE,564,https://www.espn.com/mens-college-basketball/player/_/id/5242930/camron-brown
Zahree Harrison,COPPIN STATE,333,https://www.espn.com/mens-college-basketball/player/_/id/4703193/zahree-harrison
Aa'Reyon Munir-Jones,COPPIN STATE,76,https://www.espn.com/mens-college-basketball/player/_/id/5176264/aareyon-munir-jones
Cam Liggins,COPPIN STATE,18,https://www.espn.com/mens-college-basketball/player/_/id/5107091/cam-liggins
Darius Leonard,COPPIN STATE,64,https://www.espn.com/mens-college-basketball/player/_/id/5242931/darius-leonard
Car'Ron Brown,COPPIN STATE,6,https://www.espn.com/mens-college-basketball/player/_/id/5242932/carron-brown
