Player Name,Team,Minutes Played,Player Link
Nazir Williams,CORNELL,637,https://www.espn.com/mens-college-basketball/player/_/id/4898217/nazir-williams
Cooper Noard,CORNELL,655,https://www.espn.com/mens-college-basketball/player/_/id/5106247/cooper-noard
AK Okereke,CORNELL,614,https://www.espn.com/mens-college-basketball/player/_/id/5114350/ak-okereke
Jake Fiegen,CORNELL,612,https://www.espn.com/mens-college-basketball/player/_/id/5175900/jake-fiegen
Guy Ragland Jr.,CORNELL,540,https://www.espn.com/mens-college-basketball/player/_/id/4898218/guy-ragland-jr
Jacob Beccles,CORNELL,405,https://www.espn.com/mens-college-basketball/player/_/id/5175898/jacob-beccles
Josh Baldwin,CORNELL,56,https://www.espn.com/mens-college-basketball/player/_/id/5106245/josh-baldwin
Adam Hinton,CORNELL,240,https://www.espn.com/mens-college-basketball/player/_/id/5106243/adam-hinton
DJ Nix,CORNELL,311,https://www.espn.com/mens-college-basketball/player/_/id/4684840/dj-nix
Ryan Kiachian,CORNELL,285,https://www.espn.com/mens-college-basketball/player/_/id/4898216/ryan-kiachian
Ian Imegwu,CORNELL,22,https://www.espn.com/mens-college-basketball/player/_/id/5175897/ian-imegwu
Anthony Nimani,CORNELL,161,https://www.espn.com/mens-college-basketball/player/_/id/5241718/anthony-nimani
Corbin Zentner,CORNELL,41,https://www.espn.com/mens-college-basketball/player/_/id/5196671/corbin-zentner
Ty Iwanonkiw,CORNELL,5,https://www.espn.com/mens-college-basketball/player/_/id/5241719/ty-iwanonkiw
AJ Rodriguez,CORNELL,23,https://www.espn.com/mens-college-basketball/player/_/id/5241720/aj-rodriguez
AJ LaBeau,CORNELL,17,https://www.espn.com/mens-college-basketball/player/_/id/5174972/aj-labeau
Gioacchino Panzini,CORNELL,47,https://www.espn.com/mens-college-basketball/player/_/id/5241716/gioacchino-panzini
Chris Cain,CORNELL,105,https://www.espn.com/mens-college-basketball/player/_/id/4898219/chris-cain
Mateen Rafiq,CORNELL,23,https://www.espn.com/mens-college-basketball/player/_/id/5241717/mateen-rafiq
