Player Name,Team,Minutes Played,Player Link
Reed Bailey,DAVIDSON,883,https://www.espn.com/mens-college-basketball/player/_/id/5105865/reed-bailey
Bobby Durkin,DAVIDSON,907,https://www.espn.com/mens-college-basketball/player/_/id/5174568/bobby-durkin
Connor Kochera,DAVIDSON,868,https://www.espn.com/mens-college-basketball/player/_/id/4585606/connor-kochera
Zach Laput,DAVIDSON,677,https://www.espn.com/mens-college-basketball/player/_/id/5239522/zach-laput
Mike Loughnane,DAVIDSON,667,https://www.espn.com/mens-college-basketball/player/_/id/5174569/mike-loughnane
Roberts Blums,DAVIDSON,373,https://www.espn.com/mens-college-basketball/player/_/id/5239523/roberts-blums
Sean Logan,DAVIDSON,209,https://www.espn.com/mens-college-basketball/player/_/id/5105866/sean-logan
Hunter Adam,DAVIDSON,378,https://www.espn.com/mens-college-basketball/player/_/id/5174570/hunter-adam
Manie Joses,DAVIDSON,201,https://www.espn.com/mens-college-basketball/player/_/id/5239519/manie-joses
Joe Hurlburt,DAVIDSON,148,https://www.espn.com/mens-college-basketball/player/_/id/5105613/joe-hurlburt
Michael Katsock,DAVIDSON,9,https://www.espn.com/mens-college-basketball/player/_/id/4902569/michael-katsock
Brock Matheny,DAVIDSON,8,https://www.espn.com/mens-college-basketball/player/_/id/5105870/brock-matheny
Riccardo Ghedini,DAVIDSON,64,https://www.espn.com/mens-college-basketball/player/_/id/5105868/riccardo-ghedini
Luke Zimmerman,DAVIDSON,7,https://www.espn.com/mens-college-basketball/player/_/id/5239524/luke-zimmerman
