Player Name,Team,Minutes Played,Player Link
Nate Santos,DAYTON,877,https://www.espn.com/mens-college-basketball/player/_/id/4433585/nate-santos
Enoch Cheeks,DAYTON,852,https://www.espn.com/mens-college-basketball/player/_/id/4703000/enoch-cheeks
Javon Bennett,DAYTON,808,https://www.espn.com/mens-college-basketball/player/_/id/5106599/javon-bennett
Malachi Smith,DAYTON,709,https://www.espn.com/mens-college-basketball/player/_/id/4683861/malachi-smith
Zed Key,DAYTON,481,https://www.espn.com/mens-college-basketball/player/_/id/4432401/zed-key
Amael L'Etang,DAYTON,439,https://www.espn.com/mens-college-basketball/player/_/id/5239526/amael-letang
Posh Alexander,DAYTON,476,https://www.espn.com/mens-college-basketball/player/_/id/4433156/posh-alexander
Isaac Jack,DAYTON,157,https://www.espn.com/mens-college-basketball/player/_/id/5108762/isaac-jack
Jacob Conner,DAYTON,245,https://www.espn.com/mens-college-basketball/player/_/id/5108991/jacob-conner
Hamad Mousa,DAYTON,155,https://www.espn.com/mens-college-basketball/player/_/id/5239525/hamad-mousa
Jaiun Simon,DAYTON,173,https://www.espn.com/mens-college-basketball/player/_/id/5174574/jaiun-simon
Makai Grant,DAYTON,6,https://www.espn.com/mens-college-basketball/player/_/id/5174578/makai-grant
Atticus Schuler,DAYTON,7,https://www.espn.com/mens-college-basketball/player/_/id/5105874/atticus-schuler
Will Maxwell,DAYTON,7,https://www.espn.com/mens-college-basketball/player/_/id/5174577/will-maxwell
Brady Uhl,DAYTON,23,https://www.espn.com/mens-college-basketball/player/_/id/4897094/brady-uhl
Evan Dickey,DAYTON,10,https://www.espn.com/mens-college-basketball/player/_/id/5174575/evan-dickey
