Player Name,Team,Minutes Played,Player Link
Robert Smith,DELAWARE STATE,756,https://www.espn.com/mens-college-basketball/player/_/id/5243396/robert-smith
Martaz Robinson,DELAWARE STATE,807,https://www.espn.com/mens-college-basketball/player/_/id/4703996/martaz-robinson
Kaseem Watson,DELAWARE STATE,805,https://www.espn.com/mens-college-basketball/player/_/id/5108719/kaseem-watson
Muneer Newton,DELAWARE STATE,601,https://www.espn.com/mens-college-basketball/player/_/id/5175796/muneer-newton
Corey Perkins,DELAWARE STATE,460,https://www.espn.com/mens-college-basketball/player/_/id/4897761/corey-perkins
Alston Andrews,DELAWARE STATE,581,https://www.espn.com/mens-college-basketball/player/_/id/4703901/alston-andrews
Raymond Somerville,DELAWARE STATE,305,https://www.espn.com/mens-college-basketball/player/_/id/4432115/raymond-somerville
Javarzia Belton,DELAWARE STATE,51,https://www.espn.com/mens-college-basketball/player/_/id/4433562/javarzia-belton
Ponce James,DELAWARE STATE,153,https://www.espn.com/mens-college-basketball/player/_/id/5243399/ponce-james
Theodore Pendergrass III,DELAWARE STATE,8,https://www.espn.com/mens-college-basketball/player/_/id/5243398/theodore-pendergrass-iii
John Clemmons,DELAWARE STATE,38,https://www.espn.com/mens-college-basketball/player/_/id/5243397/john-clemmons
Caleb Surgers,DELAWARE STATE,225,https://www.espn.com/mens-college-basketball/player/_/id/5176277/caleb-surgers
Kareem Watson,DELAWARE STATE,130,https://www.espn.com/mens-college-basketball/player/_/id/5108720/kareem-watson
Dean Shepherd,DELAWARE STATE,102,https://www.espn.com/mens-college-basketball/player/_/id/5176278/dean-shepherd
Elias Walker,DELAWARE STATE,2,https://www.espn.com/mens-college-basketball/player/_/id/5119473/elias-walker
