Player Name,Team,Minutes Played,Player Link
John Camden,DELAWARE,979,https://www.espn.com/mens-college-basketball/player/_/id/4684155/john-camden
Niels Lane,DELAWARE,797,https://www.espn.com/mens-college-basketball/player/_/id/4565449/niels-lane
Cavan Reilly,DELAWARE,846,https://www.espn.com/mens-college-basketball/player/_/id/5105771/cavan-reilly
Izaiah Pasha,DELAWARE,772,https://www.espn.com/mens-college-basketball/player/_/id/5239617/izaiah-pasha
Erik Timko,DELAWARE,857,https://www.espn.com/mens-college-basketball/player/_/id/5239621/erik-timko
Trent Middleton Jr.,DELAWARE,454,https://www.espn.com/mens-college-basketball/player/_/id/5176166/trent-middleton-jr
Tahron Allen,DELAWARE,274,https://www.espn.com/mens-college-basketball/player/_/id/4599446/tahron-allen
Macon Emory,DELAWARE,426,https://www.espn.com/mens-college-basketball/player/_/id/5239618/macon-emory
Gabe Moss,DELAWARE,107,https://www.espn.com/mens-college-basketball/player/_/id/5105773/gabe-moss
Kevin Kogbara,DELAWARE,138,https://www.espn.com/mens-college-basketball/player/_/id/5239619/kevin-kogbara
Houston Emory,DELAWARE,95,https://www.espn.com/mens-college-basketball/player/_/id/5105772/houston-emory
Kobe Jerome,DELAWARE,40,https://www.espn.com/mens-college-basketball/player/_/id/4897679/kobe-jerome
Brandon Baffone,DELAWARE,9,https://www.espn.com/mens-college-basketball/player/_/id/5181545/brandon-baffone
Alex McFadden,DELAWARE,6,https://www.espn.com/mens-college-basketball/player/_/id/5239620/alex-mcfadden
