Player Name,Team,Minutes Played,Player Link
DeAndre Craig,DENVER,788,https://www.espn.com/mens-college-basketball/player/_/id/5176937/deandre-craig
Nicholas Shogbonyo,DENVER,884,https://www.espn.com/mens-college-basketball/player/_/id/5241914/nicholas-shogbonyo
Sebastian Akins,DENVER,749,https://www.espn.com/mens-college-basketball/player/_/id/5241913/sebastian-akins
Isaiah Addo-Ankrah,DENVER,683,https://www.espn.com/mens-college-basketball/player/_/id/4703125/isaiah-addo-ankrah
Pedro Lopez-Sanvicente,DENVER,573,https://www.espn.com/mens-college-basketball/player/_/id/4897291/pedro-lopez-sanvicente
Tymo Sternicki,DENVER,54,https://www.espn.com/mens-college-basketball/player/_/id/5241917/tymo-sternicki
Josh Lee,DENVER,596,https://www.espn.com/mens-college-basketball/player/_/id/5176939/josh-lee
Isaiah Carr,DENVER,164,https://www.espn.com/mens-college-basketball/player/_/id/4712893/isaiah-carr
Josh Pickett,DENVER,534,https://www.espn.com/mens-college-basketball/player/_/id/5241915/josh-pickett
Abdulai Fanta Kabba,DENVER,256,https://www.espn.com/mens-college-basketball/player/_/id/5241916/abdulai-fanta-kabba
Jon Mani,DENVER,369,https://www.espn.com/mens-college-basketball/player/_/id/5241919/jon-mani
Ben Bowen,DENVER,221,https://www.espn.com/mens-college-basketball/player/_/id/4684206/ben-bowen
Loch Cunningham,DENVER,12,https://www.espn.com/mens-college-basketball/player/_/id/5241918/loch-cunningham
Devin Carney,DENVER,20,https://www.espn.com/mens-college-basketball/player/_/id/5105884/devin-carney
