Player Name,Team,Minutes Played,Player Link
CJ Gunn,DEPAUL,646,https://www.espn.com/mens-college-basketball/player/_/id/5105796/cj-gunn
Jacob Meyer,DEPAUL,625,https://www.espn.com/mens-college-basketball/player/_/id/5176795/jacob-meyer
Isaiah Rivera,DEPAUL,701,https://www.espn.com/mens-college-basketball/player/_/id/4703224/isaiah-rivera
Layden Blocker,DEPAUL,653,https://www.espn.com/mens-college-basketball/player/_/id/4845358/layden-blocker
NJ Benson,DEPAUL,532,https://www.espn.com/mens-college-basketball/player/_/id/5107903/nj-benson
Conor Enright,DEPAUL,693,https://www.espn.com/mens-college-basketball/player/_/id/4897451/conor-enright
David Skogman,DEPAUL,351,https://www.espn.com/mens-college-basketball/player/_/id/4593409/david-skogman
Troy D'Amico,DEPAUL,638,https://www.espn.com/mens-college-basketball/player/_/id/4897483/troy-damico
JJ Traynor,DEPAUL,450,https://www.espn.com/mens-college-basketball/player/_/id/4596711/jj-traynor
David Thomas,DEPAUL,250,https://www.espn.com/mens-college-basketball/player/_/id/5176149/david-thomas
Chris Riddle,DEPAUL,71,https://www.espn.com/mens-college-basketball/player/_/id/4905252/chris-riddle
Theo Pierre-Justin,DEPAUL,87,https://www.espn.com/mens-college-basketball/player/_/id/5240520/theo-pierre-justin
