Player Name,Team,Minutes Played,Player Link
Orlando Lovejoy,DETROIT MERCY,964,https://www.espn.com/mens-college-basketball/player/_/id/5108764/orlando-lovejoy
Mak Manciel,DETROIT MERCY,190,https://www.espn.com/mens-college-basketball/player/_/id/5107246/mak-manciel
Jared Lary,DETROIT MERCY,210,https://www.espn.com/mens-college-basketball/player/_/id/5191345/jared-lary
Nate Johnson,DETROIT MERCY,853,https://www.espn.com/mens-college-basketball/player/_/id/5241614/nate-johnson
TJ Nadeau,DETROIT MERCY,690,https://www.espn.com/mens-college-basketball/player/_/id/5241618/tj-nadeau
Grant Gondrezick II,DETROIT MERCY,483,https://www.espn.com/mens-college-basketball/player/_/id/5174936/grant-gondrezick-ii
Legend Geeter,DETROIT MERCY,685,https://www.espn.com/mens-college-basketball/player/_/id/4684296/legend-geeter
Emmanuel Kuac,DETROIT MERCY,535,https://www.espn.com/mens-college-basketball/player/_/id/4593069/emmanuel-kuac
Ryan Kalambay,DETROIT MERCY,514,https://www.espn.com/mens-college-basketball/player/_/id/5241617/ryan-kalambay
Stephen Okoro,DETROIT MERCY,189,https://www.espn.com/mens-college-basketball/player/_/id/5241616/stephen-okoro
Miles Mitchell,DETROIT MERCY,316,https://www.espn.com/mens-college-basketball/player/_/id/5241612/miles-mitchell
Peter Fuchs Jr.,DETROIT MERCY,67,https://www.espn.com/mens-college-basketball/player/_/id/5241615/peter-fuchs-jr
Duane Rogers III,DETROIT MERCY,4,https://www.espn.com/mens-college-basketball/player/_/id/5264465/duane-rogers-iii
Chase Kuiper,DETROIT MERCY,172,https://www.espn.com/mens-college-basketball/player/_/id/5241613/chase-kuiper
Ryan Hurst,DETROIT MERCY,23,https://www.espn.com/mens-college-basketball/player/_/id/5176807/ryan-hurst
Alex Tchikou,DETROIT MERCY,5,https://www.espn.com/mens-college-basketball/player/_/id/4702182/alex-tchikou
