Player Name,Team,Minutes Played,Player Link
Bennett Stirtz,DRAKE,1049,https://www.espn.com/mens-college-basketball/player/_/id/5241364/bennett-stirtz
Daniel Abreu,DRAKE,927,https://www.espn.com/mens-college-basketball/player/_/id/5241368/daniel-abreu
Mitch Mascari,DRAKE,1026,https://www.espn.com/mens-college-basketball/player/_/id/5241365/mitch-mascari
Tavion Banks,DRAKE,472,https://www.espn.com/mens-college-basketball/player/_/id/5241363/tavion-banks
Cam Manyawu,DRAKE,500,https://www.espn.com/mens-college-basketball/player/_/id/5176283/cam-manyawu
Kael Combs,DRAKE,313,https://www.espn.com/mens-college-basketball/player/_/id/5176280/kael-combs
Isaiah Jackson,DRAKE,554,https://www.espn.com/mens-college-basketball/player/_/id/5241362/isaiah-jackson
Nate Ferguson,DRAKE,278,https://www.espn.com/mens-college-basketball/player/_/id/4432981/nate-ferguson
Isaia Howard,DRAKE,300,https://www.espn.com/mens-college-basketball/player/_/id/5241366/isaia-howard
Andrew Alia,DRAKE,54,https://www.espn.com/mens-college-basketball/player/_/id/5107963/andrew-alia
