Player Name,Team,Minutes Played,Player Link
Kobe MaGee,DREXEL,963,https://www.espn.com/mens-college-basketball/player/_/id/5105779/kobe-magee
Yame Butler,DREXEL,895,https://www.espn.com/mens-college-basketball/player/_/id/4700880/yame-butler
Jason Drake,DREXEL,739,https://www.espn.com/mens-college-basketball/player/_/id/5106739/jason-drake
Cole Hargrove,DREXEL,939,https://www.espn.com/mens-college-basketball/player/_/id/5105782/cole-hargrove
Shane Blakeney,DREXEL,724,https://www.espn.com/mens-college-basketball/player/_/id/5105778/shane-blakeney
Victor Panov,DREXEL,676,https://www.espn.com/mens-college-basketball/player/_/id/5108105/victor-panov
Kevon Vanderhorst,DREXEL,211,https://www.espn.com/mens-college-basketball/player/_/id/5239624/kevon-vanderhorst
Villiam Garcia Adsten,DREXEL,416,https://www.espn.com/mens-college-basketball/player/_/id/5176529/villiam-garcia-adsten
Horace Simmons Jr.,DREXEL,102,https://www.espn.com/mens-college-basketball/player/_/id/5174941/horace-simmons-jr
Josh Reed,DREXEL,100,https://www.espn.com/mens-college-basketball/player/_/id/5239623/josh-reed
Ralph Akuta,DREXEL,43,https://www.espn.com/mens-college-basketball/player/_/id/5239626/ralph-akuta
Clem Edomwonyin,DREXEL,116,https://www.espn.com/mens-college-basketball/player/_/id/5239625/clem-edomwonyin
Max Davis,DREXEL,3,https://www.espn.com/mens-college-basketball/player/_/id/5105783/max-davis
